r,top_top,bottom_bottom,top_bottom
2.713504704593503597e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.381553325450480374e+00
8.140514113780510791e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.399974036456486770e+00
1.356752352296751798e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.188135859887413437e+00
1.899453293215452518e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.199977745534131390e+00
2.442154234134153237e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.203486452392418471e+00
2.984855175052853957e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.278564804825990331e+00
3.527556115971554329e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.164755726687481729e+00
4.070257056890255742e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.213924855295821947e+00
4.612957997808955768e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.145876581697162777e+00
5.155658938727657181e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.198315726495995825e+00
5.698359879646357207e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.017086400545925473e+00
6.241060820565058620e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.158102091942837752e+00
6.783761761483758645e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.033401887436960154e+00
7.326462702402458671e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.108312778861384018e+00
7.869163643321161472e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.108101046550970192e+00
8.411864584239861498e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.021458136107259218e+00
8.954565525158561523e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.039932866793636057e+00
9.497266466077261549e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.473508517374704674e-01
1.003996740699596435e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.827698250231515775e-01
1.058266834791466438e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.635448833911056665e-01
1.112536928883336440e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.421519751120842612e-01
1.166807022975206443e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.066845312607569873e-01
1.221077117067076723e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.983166733929105474e-01
1.275347211158946725e-01,0.000000000000000000e+00,1.175790064213177652e-03,9.253467805357707965e-01
1.329617305250816728e-01,2.255597266041601753e-03,0.000000000000000000e+00,8.965999132515367620e-01
1.383887399342686730e-01,3.250713706942310374e-03,3.250713706942310374e-03,8.944880550269590502e-01
1.438157493434557010e-01,2.085363510113922257e-03,8.341454040455689029e-03,8.894075370635877720e-01
1.492427587526427013e-01,8.038128438984628449e-03,1.306195871335002340e-02,9.138347269070650203e-01
1.546697681618297016e-01,7.756088844634279576e-03,2.326826653390283786e-02,9.137642170084760984e-01
1.600967775710167018e-01,2.341615805848264870e-02,2.903603599251848577e-02,9.221283043430467119e-01
1.655237869802037298e-01,4.982651337690264387e-02,3.804933748781656050e-02,9.131840997075975075e-01
1.709507963893907301e-01,7.017413716573869809e-02,7.894590431145603882e-02,8.973517790068835653e-01
1.763778057985777303e-01,1.215766926396425474e-01,1.198763193160111845e-01,9.237278080627386867e-01
1.818048152077647306e-01,1.888810218078568748e-01,1.525894717661726019e-01,9.477043408612557673e-01
1.872318246169517586e-01,2.618944564766983452e-01,2.474782478633021088e-01,9.286441048462744652e-01
1.926588340261387589e-01,3.704897931912280451e-01,3.588146946662943981e-01,9.678656677170001110e-01
1.980858434353257591e-01,4.557233435184607773e-01,5.026583058077375155e-01,1.010615720261038408e+00
2.035128528445127594e-01,6.181990613615726549e-01,6.115676053994103523e-01,9.914026663432609077e-01
2.089398622536997874e-01,8.095543642120239802e-01,7.492684009196393102e-01,9.556042871882181045e-01
2.143668716628867876e-01,9.513481127152675354e-01,9.779298982176058974e-01,1.019551378148898735e+00
2.197938810720737879e-01,1.129121359812615299e+00,1.187112487053746612e+00,1.040770171839362268e+00
2.252208904812607881e-01,1.403525016891380650e+00,1.368902957651175756e+00,1.007701666539423391e+00
2.306478998904478162e-01,1.571395005935908751e+00,1.508981302762616439e+00,1.020724103979882891e+00
2.360749092996348164e-01,1.767117862714134180e+00,1.780456998270207869e+00,1.053156511998574629e+00
2.415019187088218167e-01,1.939142038373863786e+00,1.959632492189533837e+00,1.018003000933061175e+00
2.469289281180088169e-01,2.082350045261398996e+00,2.082350045261398996e+00,1.074575212916315303e+00
2.523559375271958727e-01,2.189687743778508278e+00,2.152252105282430605e+00,1.087416165838445137e+00
2.577829469363828174e-01,2.225027987304463384e+00,2.183145107543438268e+00,1.036310420753699724e+00
2.632099563455698732e-01,2.241819519854692633e+00,2.226437276643491447e+00,1.096696969687492418e+00
2.686369657547568179e-01,2.161363424704758174e+00,2.257932606645337348e+00,1.061144594618735892e+00
2.740639751639438737e-01,2.111998350985682116e+00,2.133884344260144950e+00,1.102780486117005632e+00
2.794909845731308184e-01,2.080646134406594960e+00,2.031822308147956502e+00,1.078148119414660266e+00
2.849179939823178742e-01,1.885754500986294602e+00,1.921543310940820870e+00,1.060769800931587126e+00
2.903450033915049300e-01,1.809705739206908692e+00,1.835529165850843025e+00,1.066249286128043039e+00
2.957720128006918747e-01,1.591448032509752641e+00,1.646203173481735282e+00,1.052008495526516985e+00
3.011990222098789305e-01,1.412918319866113048e+00,1.447768313661260242e+00,1.044255171218876788e+00
3.066260316190658752e-01,1.293525148961600646e+00,1.296948466936168165e+00,1.069786867052363366e+00
3.120530410282529310e-01,1.181648566011385348e+00,1.108606442370177358e+00,1.033642157580516363e+00
3.174800504374398757e-01,9.413455649992512608e-01,9.578769723123339297e-01,1.038172379261592670e+00
3.229070598466269315e-01,8.400772994083705036e-01,8.642254583742274843e-01,1.018866553290196153e+00
3.283340692558139873e-01,7.270852542536092589e-01,7.234315595086162620e-01,9.949467502459093948e-01
3.337610786650009320e-01,6.173184615183620050e-01,5.984484648780626914e-01,1.002805535741618570e+00
3.391880880741879878e-01,5.367058358710036226e-01,5.013380707394712310e-01,9.721714440529958257e-01
