layer,m1,m2,kx,ky,occupation
top,-4,-4,-4.82400836372,-4.82400836372,0.00384585840504
top,-4,-3,-4.82400836372,-3.61800627279,0.00998167742
top,-4,-2,-4.82400836372,-2.41200418186,0.0188158192217
top,-4,-1,-4.82400836372,-1.20600209093,0.0282877434233
top,-4,0,-4.82400836372,0,0.0353180904907
top,-4,1,-4.82400836372,1.20600209093,0.0306423509475
top,-4,2,-4.82400836372,2.41200418186,0.0139969433809
top,-4,3,-4.82400836372,3.61800627279,0.0105029500593
top,-4,4,-4.82400836372,4.82400836372,0.00121613354683
top,-3,-4,-3.61800627279,-4.82400836372,0.00844928737922
top,-3,-3,-3.61800627279,-3.61800627279,0.0206040597804
top,-3,-2,-3.61800627279,-2.41200418186,0.0484115674162
top,-3,-1,-3.61800627279,-1.20600209093,0.108690802386
top,-3,0,-3.61800627279,0,0.131116006966
top,-3,1,-3.61800627279,1.20600209093,0.1064188561
top,-3,2,-3.61800627279,2.41200418186,0.0588892021094
top,-3,3,-3.61800627279,3.61800627279,0.0225651218418
top,-3,4,-3.61800627279,4.82400836372,0.00114177208329
top,-2,-4,-2.41200418186,-4.82400836372,0.0142517856966
top,-2,-3,-2.41200418186,-3.61800627279,0.0486276609293
top,-2,-2,-2.41200418186,-2.41200418186,0.153681185411
top,-2,-1,-2.41200418186,-1.20600209093,0.274791766043
top,-2,0,-2.41200418186,0,0.31480840522
top,-2,1,-2.41200418186,1.20600209093,0.296157910767
top,-2,2,-2.41200418186,2.41200418186,0.160635622801
top,-2,3,-2.41200418186,3.61800627279,0.0561877363552
top,-2,4,-2.41200418186,4.82400836372,0.0197975709731
top,-1,-4,-1.20600209093,-4.82400836372,0.0208018184521
top,-1,-3,-1.20600209093,-3.61800627279,0.0990691330308
top,-1,-2,-1.20600209093,-2.41200418186,0.270778579873
top,-1,-1,-1.20600209093,-1.20600209093,0.475848777261
top,-1,0,-1.20600209093,0,0.591077290997
top,-1,1,-1.20600209093,1.20600209093,0.495112353875
top,-1,2,-1.20600209093,2.41200418186,0.284425683667
top,-1,3,-1.20600209093,3.61800627279,0.0974071657559
top,-1,4,-1.20600209093,4.82400836372,0.0293706905408
top,0,-4,0,-4.82400836372,0.0365364536133
top,0,-3,0,-3.61800627279,0.120949391687
top,0,-2,0,-2.41200418186,0.308267971066
top,0,-1,0,-1.20600209093,0.578978327998
top,0,0,0,0,1.07199866428
top,0,1,0,1.20600209093,0.578978327998
top,0,2,0,2.41200418186,0.308267971066
top,0,3,0,3.61800627279,0.120949391687
top,0,4,0,4.82400836372,0.0365364536133
top,1,-4,1.20600209093,-4.82400836372,0.0293706905408
top,1,-3,1.20600209093,-3.61800627279,0.0974071657559
top,1,-2,1.20600209093,-2.41200418186,0.284425683667
top,1,-1,1.20600209093,-1.20600209093,0.495112353875
top,1,0,1.20600209093,0,0.591077290997
top,1,1,1.20600209093,1.20600209093,0.475848777261
top,1,2,1.20600209093,2.41200418186,0.270778579873
top,1,3,1.20600209093,3.61800627279,0.0990691330308
top,1,4,1.20600209093,4.82400836372,0.0208018184521
top,2,-4,2.41200418186,-4.82400836372,0.0197975709731
top,2,-3,2.41200418186,-3.61800627279,0.0561877363552
top,2,-2,2.41200418186,-2.41200418186,0.160635622801
top,2,-1,2.41200418186,-1.20600209093,0.296157910767
top,2,0,2.41200418186,0,0.31480840522
top,2,1,2.41200418186,1.20600209093,0.274791766043
top,2,2,2.41200418186,2.41200418186,0.153681185411
top,2,3,2.41200418186,3.61800627279,0.0486276609293
top,2,4,2.41200418186,4.82400836372,0.0142517856966
top,3,-4,3.61800627279,-4.82400836372,0.00114177208329
top,3,-3,3.61800627279,-3.61800627279,0.0225651218418
top,3,-2,3.61800627279,-2.41200418186,0.0588892021094
top,3,-1,3.61800627279,-1.20600209093,0.1064188561
top,3,0,3.61800627279,0,0.131116006966
top,3,1,3.61800627279,1.20600209093,0.108690802386
top,3,2,3.61800627279,2.41200418186,0.0484115674162
top,3,3,3.61800627279,3.61800627279,0.0206040597804
top,3,4,3.61800627279,4.82400836372,0.00844928737922
top,4,-4,4.82400836372,-4.82400836372,0.00121613354683
top,4,-3,4.82400836372,-3.61800627279,0.0105029500593
top,4,-2,4.82400836372,-2.41200418186,0.0139969433809
top,4,-1,4.82400836372,-1.20600209093,0.0306423509475
top,4,0,4.82400836372,0,0.0353180904907
top,4,1,4.82400836372,1.20600209093,0.0282877434233
top,4,2,4.82400836372,2.41200418186,0.0188158192217
top,4,3,4.82400836372,3.61800627279,0.00998167742
top,4,4,4.82400836372,4.82400836372,0.00384585840504
