layer,m1,m2,kx,ky,occupation
top,-4,-4,-3.21600557581,-3.21600557581,0.00262357729414
top,-4,-3,-3.21600557581,-2.41200418186,0.00777387073979
top,-4,-2,-3.21600557581,-1.60800278791,-0.00472014399662
top,-4,-1,-3.21600557581,-0.804001393954,0.0236401792042
top,-4,0,-3.21600557581,0,0.0337062898805
top,-4,1,-3.21600557581,0.804001393954,0.0139506704317
top,-4,2,-3.21600557581,1.60800278791,0.0130968499328
top,-4,3,-3.21600557581,2.41200418186,-0.0116878120681
top,-4,4,-3.21600557581,3.21600557581,0.000254032061303
top,-3,-4,-2.41200418186,-3.21600557581,-0.00458589308878
top,-3,-3,-2.41200418186,-2.41200418186,0.0178926450847
top,-3,-2,-2.41200418186,-1.60800278791,0.0265794135736
top,-3,-1,-2.41200418186,-0.804001393954,0.078321263694
top,-3,0,-2.41200418186,0,0.11192232851
top,-3,1,-2.41200418186,0.804001393954,0.0678294214808
top,-3,2,-2.41200418186,1.60800278791,0.023483101392
top,-3,3,-2.41200418186,2.41200418186,0.0147019994589
top,-3,4,-2.41200418186,3.21600557581,0.00540954583243
top,-2,-4,-1.60800278791,-3.21600557581,0.0189878126813
top,-2,-3,-1.60800278791,-2.41200418186,0.0321130372968
top,-2,-2,-1.60800278791,-1.60800278791,0.126478918016
top,-2,-1,-1.60800278791,-0.804001393954,0.263883532717
top,-2,0,-1.60800278791,0,0.302788216084
top,-2,1,-1.60800278791,0.804001393954,0.262450256341
top,-2,2,-1.60800278791,1.60800278791,0.115378472851
top,-2,3,-1.60800278791,2.41200418186,0.0291909888015
top,-2,4,-1.60800278791,3.21600557581,0.00727068757348
top,-1,-4,-0.804001393954,-3.21600557581,0.0215505616303
top,-1,-3,-0.804001393954,-2.41200418186,0.0778307060366
top,-1,-2,-0.804001393954,-1.60800278791,0.242690890509
top,-1,-1,-0.804001393954,-0.804001393954,0.485789226995
top,-1,0,-0.804001393954,0,0.666010931999
top,-1,1,-0.804001393954,0.804001393954,0.486120035792
top,-1,2,-0.804001393954,1.60800278791,0.261520422675
top,-1,3,-0.804001393954,2.41200418186,0.0827850980955
top,-1,4,-0.804001393954,3.21600557581,0.0143626554765
top,0,-4,0,-3.21600557581,0.0170763215443
top,0,-3,0,-2.41200418186,0.103483115015
top,0,-2,0,-1.60800278791,0.300099963265
top,0,-1,0,-0.804001393954,0.650489057637
top,0,0,0,0,1.79213089613
top,0,1,0,0.804001393954,0.650489057637
top,0,2,0,1.60800278791,0.300099963265
top,0,3,0,2.41200418186,0.103483115015
top,0,4,0,3.21600557581,0.0170763215443
top,1,-4,0.804001393954,-3.21600557581,0.0143626554765
top,1,-3,0.804001393954,-2.41200418186,0.0827850980955
top,1,-2,0.804001393954,-1.60800278791,0.261520422675
top,1,-1,0.804001393954,-0.804001393954,0.486120035792
top,1,0,0.804001393954,0,0.666010931999
top,1,1,0.804001393954,0.804001393954,0.485789226995
top,1,2,0.804001393954,1.60800278791,0.242690890509
top,1,3,0.804001393954,2.41200418186,0.0778307060366
top,1,4,0.804001393954,3.21600557581,0.0215505616303
top,2,-4,1.60800278791,-3.21600557581,0.00727068757348
top,2,-3,1.60800278791,-2.41200418186,0.0291909888015
top,2,-2,1.60800278791,-1.60800278791,0.115378472851
top,2,-1,1.60800278791,-0.804001393954,0.262450256341
top,2,0,1.60800278791,0,0.302788216084
top,2,1,1.60800278791,0.804001393954,0.263883532717
top,2,2,1.60800278791,1.60800278791,0.126478918016
top,2,3,1.60800278791,2.41200418186,0.0321130372968
top,2,4,1.60800278791,3.21600557581,0.0189878126813
top,3,-4,2.41200418186,-3.21600557581,0.00540954583243
top,3,-3,2.41200418186,-2.41200418186,0.0147019994589
top,3,-2,2.41200418186,-1.60800278791,0.023483101392
top,3,-1,2.41200418186,-0.804001393954,0.0678294214808
top,3,0,2.41200418186,0,0.11192232851
top,3,1,2.41200418186,0.804001393954,0.078321263694
top,3,2,2.41200418186,1.60800278791,0.0265794135736
top,3,3,2.41200418186,2.41200418186,0.0178926450847
top,3,4,2.41200418186,3.21600557581,-0.00458589308878
top,4,-4,3.21600557581,-3.21600557581,0.000254032061303
top,4,-3,3.21600557581,-2.41200418186,-0.0116878120681
top,4,-2,3.21600557581,-1.60800278791,0.0130968499328
top,4,-1,3.21600557581,-0.804001393954,0.0139506704317
top,4,0,3.21600557581,0,0.0337062898805
top,4,1,3.21600557581,0.804001393954,0.0236401792042
top,4,2,3.21600557581,1.60800278791,-0.00472014399662
top,4,3,3.21600557581,2.41200418186,0.00777387073979
top,4,4,3.21600557581,3.21600557581,0.00262357729414
bottom,-4,-4,-3.21600557581,-3.21600557581,0.00688533371777
bottom,-4,-3,-3.21600557581,-2.41200418186,-0.00693614265895
bottom,-4,-2,-3.21600557581,-1.60800278791,0.0253158505234
bottom,-4,-1,-3.21600557581,-0.804001393954,0.0214400662166
bottom,-4,0,-3.21600557581,0,0.0169058516523
bottom,-4,1,-3.21600557581,0.804001393954,0.00888540265182
bottom,-4,2,-3.21600557581,1.60800278791,0.0162786982732
bottom,-4,3,-3.21600557581,2.41200418186,0.000287555852659
bottom,-4,4,-3.21600557581,3.21600557581,0.00536899957961
bottom,-3,-4,-2.41200418186,-3.21600557581,0.000282749295447
bottom,-3,-3,-2.41200418186,-2.41200418186,0.0251994814529
bottom,-3,-2,-2.41200418186,-1.60800278791,0.0378552467626
bottom,-3,-1,-2.41200418186,-0.804001393954,0.0906494913142
bottom,-3,0,-2.41200418186,0,0.0946072634727
bottom,-3,1,-2.41200418186,0.804001393954,0.077534302835
bottom,-3,2,-2.41200418186,1.60800278791,0.0313019634051
bottom,-3,3,-2.41200418186,2.41200418186,0.0249499709142
bottom,-3,4,-2.41200418186,3.21600557581,0.00868021400479
bottom,-2,-4,-1.60800278791,-3.21600557581,0.0103172665813
bottom,-2,-3,-1.60800278791,-2.41200418186,0.0310898483201
bottom,-2,-2,-1.60800278791,-1.60800278791,0.152683885832
bottom,-2,-1,-1.60800278791,-0.804001393954,0.223742396382
bottom,-2,0,-1.60800278791,0,0.346517867745
bottom,-2,1,-1.60800278791,0.804001393954,0.251869912306
bottom,-2,2,-1.60800278791,1.60800278791,0.128397519385
bottom,-2,3,-1.60800278791,2.41200418186,0.0358909974651
bottom,-2,4,-1.60800278791,3.21600557581,0.0122112850234
bottom,-1,-4,-0.804001393954,-3.21600557581,0.0183143519276
bottom,-1,-3,-0.804001393954,-2.41200418186,0.0668826974412
bottom,-1,-2,-0.804001393954,-1.60800278791,0.250051658421
bottom,-1,-1,-0.804001393954,-0.804001393954,0.507648859514
bottom,-1,0,-0.804001393954,0,0.636987637028
bottom,-1,1,-0.804001393954,0.804001393954,0.510360117053
bottom,-1,2,-0.804001393954,1.60800278791,0.26292246135
bottom,-1,3,-0.804001393954,2.41200418186,0.0768768988503
bottom,-1,4,-0.804001393954,3.21600557581,0.0151146417653
bottom,0,-4,0,-3.21600557581,0.0135870240249
bottom,0,-3,0,-2.41200418186,0.101948091774
bottom,0,-2,0,-1.60800278791,0.334906513694
bottom,0,-1,0,-0.804001393954,0.594572576453
bottom,0,0,0,0,1.82846555848
bottom,0,1,0,0.804001393954,0.594572576453
bottom,0,2,0,1.60800278791,0.334906513694
bottom,0,3,0,2.41200418186,0.101948091774
bottom,0,4,0,3.21600557581,0.0135870240249
bottom,1,-4,0.804001393954,-3.21600557581,0.0151146417653
bottom,1,-3,0.804001393954,-2.41200418186,0.0768768988503
bottom,1,-2,0.804001393954,-1.60800278791,0.26292246135
bottom,1,-1,0.804001393954,-0.804001393954,0.510360117053
bottom,1,0,0.804001393954,0,0.636987637028
bottom,1,1,0.804001393954,0.804001393954,0.507648859514
bottom,1,2,0.804001393954,1.60800278791,0.250051658421
bottom,1,3,0.804001393954,2.41200418186,0.0668826974412
bottom,1,4,0.804001393954,3.21600557581,0.0183143519276
bottom,2,-4,1.60800278791,-3.21600557581,0.0122112850234
bottom,2,-3,1.60800278791,-2.41200418186,0.0358909974651
bottom,2,-2,1.60800278791,-1.60800278791,0.128397519385
bottom,2,-1,1.60800278791,-0.804001393954,0.251869912306
bottom,2,0,1.60800278791,0,0.346517867745
bottom,2,1,1.60800278791,0.804001393954,0.223742396382
bottom,2,2,1.60800278791,1.60800278791,0.152683885832
bottom,2,3,1.60800278791,2.41200418186,0.0310898483201
bottom,2,4,1.60800278791,3.21600557581,0.0103172665813
bottom,3,-4,2.41200418186,-3.21600557581,0.00868021400479
bottom,3,-3,2.41200418186,-2.41200418186,0.0249499709142
bottom,3,-2,2.41200418186,-1.60800278791,0.0313019634051
bottom,3,-1,2.41200418186,-0.804001393954,0.077534302835
bottom,3,0,2.41200418186,0,0.0946072634727
bottom,3,1,2.41200418186,0.804001393954,0.0906494913142
bottom,3,2,2.41200418186,1.60800278791,0.0378552467626
bottom,3,3,2.41200418186,2.41200418186,0.0251994814529
bottom,3,4,2.41200418186,3.21600557581,0.000282749295447
bottom,4,-4,3.21600557581,-3.21600557581,0.00536899957961
bottom,4,-3,3.21600557581,-2.41200418186,0.000287555852659
bottom,4,-2,3.21600557581,-1.60800278791,0.0162786982732
bottom,4,-1,3.21600557581,-0.804001393954,0.00888540265182
bottom,4,0,3.21600557581,0,0.0169058516523
bottom,4,1,3.21600557581,0.804001393954,0.0214400662166
bottom,4,2,3.21600557581,1.60800278791,0.0253158505234
bottom,4,3,3.21600557581,2.41200418186,-0.00693614265895
bottom,4,4,3.21600557581,3.21600557581,0.00688533371777
