row_m1,row_m2,row_kx,row_ky,col_m1,col_m2,col_kx,col_ky,gamma_real,gamma_imag
-4,-4,-28.9440501823,-28.9440501823,-4,-4,-28.9440501823,-28.9440501823,0.0216048819683,0
-4,-4,-28.9440501823,-28.9440501823,-4,-3,-28.9440501823,-21.7080376367,-0.00520999979838,-0.00267080090787
-4,-4,-28.9440501823,-28.9440501823,-4,-2,-28.9440501823,-14.4720250912,0.00219859399377,0.010495922916
-4,-4,-28.9440501823,-28.9440501823,-4,-1,-28.9440501823,-7.23601254558,-0.00797790372833,-0.0106338439676
-4,-4,-28.9440501823,-28.9440501823,-4,0,-28.9440501823,0,-0.00411316358843,0.0262910577368
-4,-4,-28.9440501823,-28.9440501823,-4,1,-28.9440501823,7.23601254558,0.00147694659977,-0.00193283416647
-4,-4,-28.9440501823,-28.9440501823,-4,2,-28.9440501823,14.4720250912,-0.00724761332929,-0.00260943757679
-4,-4,-28.9440501823,-28.9440501823,-4,3,-28.9440501823,21.7080376367,0.00631390444196,-0.00684154571919
-4,-4,-28.9440501823,-28.9440501823,-4,4,-28.9440501823,28.9440501823,-0.00630923497516,-0.00155061024978
-4,-4,-28.9440501823,-28.9440501823,-3,-4,-21.7080376367,-28.9440501823,0.00592261374124,0.00574764521658
-4,-4,-28.9440501823,-28.9440501823,-3,-3,-21.7080376367,-21.7080376367,-0.00687371412014,0.00503928988506
-4,-4,-28.9440501823,-28.9440501823,-3,-2,-21.7080376367,-14.4720250912,0.00618255126171,-0.00148976514546
-4,-4,-28.9440501823,-28.9440501823,-3,-1,-21.7080376367,-7.23601254558,-0.0101828551803,-0.0131589894385
-4,-4,-28.9440501823,-28.9440501823,-3,0,-21.7080376367,0,-0.00740999234777,0.00170786979082
-4,-4,-28.9440501823,-28.9440501823,-3,1,-21.7080376367,7.23601254558,-0.00216418378275,-0.012338872366
-4,-4,-28.9440501823,-28.9440501823,-3,2,-21.7080376367,14.4720250912,-0.000425861602,0.00846735119199
-4,-4,-28.9440501823,-28.9440501823,-3,3,-21.7080376367,21.7080376367,0.00823253785573,-0.00440271751498
-4,-4,-28.9440501823,-28.9440501823,-3,4,-21.7080376367,28.9440501823,5.43535356828e-05,0.000777299627177
-4,-4,-28.9440501823,-28.9440501823,-2,-4,-14.4720250912,-28.9440501823,-0.0110331218265,-0.00257632994908
-4,-4,-28.9440501823,-28.9440501823,-2,-3,-14.4720250912,-21.7080376367,-0.00372118316859,-0.0103793465047
-4,-4,-28.9440501823,-28.9440501823,-2,-2,-14.4720250912,-14.4720250912,0.00656594087168,0.0119818570311
-4,-4,-28.9440501823,-28.9440501823,-2,-1,-14.4720250912,-7.23601254558,-0.00125170506725,0.0220376028285
-4,-4,-28.9440501823,-28.9440501823,-2,0,-14.4720250912,0,0.00908347958123,-0.013762795461
-4,-4,-28.9440501823,-28.9440501823,-2,1,-14.4720250912,7.23601254558,0.0137784126206,-0.00593875340884
-4,-4,-28.9440501823,-28.9440501823,-2,2,-14.4720250912,14.4720250912,-0.0117705975881,0.00786530683764
-4,-4,-28.9440501823,-28.9440501823,-2,3,-14.4720250912,21.7080376367,-0.0220886926088,-0.0114368378527
-4,-4,-28.9440501823,-28.9440501823,-2,4,-14.4720250912,28.9440501823,0.00155293997614,0.00624117354238
-4,-4,-28.9440501823,-28.9440501823,-1,-4,-7.23601254558,-28.9440501823,0.00504430143794,0.0125708780372
-4,-4,-28.9440501823,-28.9440501823,-1,-3,-7.23601254558,-21.7080376367,-0.00380914667995,-0.0220770091786
-4,-4,-28.9440501823,-28.9440501823,-1,-2,-7.23601254558,-14.4720250912,-0.000773188200693,0.0451486521053
-4,-4,-28.9440501823,-28.9440501823,-1,-1,-7.23601254558,-7.23601254558,0.0079841720929,0.00987838658058
-4,-4,-28.9440501823,-28.9440501823,-1,0,-7.23601254558,0,-0.0292341658946,-0.00374353626017
-4,-4,-28.9440501823,-28.9440501823,-1,1,-7.23601254558,7.23601254558,0.0283684860664,-0.0046817761875
-4,-4,-28.9440501823,-28.9440501823,-1,2,-7.23601254558,14.4720250912,-0.0226199850921,-0.00388550740259
