r,top_top,bottom_bottom,top_bottom
2.170803763674802878e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.565630617792978629e-01
6.512411291024408633e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243460558e-01
1.085401881837401439e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243463888e-01
1.519562634572362014e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.010507575186637030e+00
1.953723387307322590e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025419579334356790e+00
2.387884140042283165e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.846707337756155365e-01
2.822044892777243463e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.565630617792977519e-01
3.256205645512204594e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.689293989159368792e-01
3.690366398247164614e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.768394689361631356e-01
4.124527150982125745e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025257994150093666e+00
4.558687903717085765e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.657715627434790839e-01
4.992848656452046896e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.042772423035667195e+00
5.427009409187006916e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.902974236829051868e-01
5.861170161921966937e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.026442952168022282e+00
6.295330914656929178e-01,0.000000000000000000e+00,1.905590793724798102e-03,1.036641391786290223e+00
6.729491667391889198e-01,1.782649452194169995e-03,1.782649452194169995e-03,1.002740316859220604e+00
7.163652420126849218e-01,8.373050457275653044e-03,3.349220182910261131e-03,9.821588186384340169e-01
7.597813172861809239e-01,6.315672344916470858e-03,7.894590431145589657e-03,9.978762304968024077e-01
8.031973925596771480e-01,1.493571162649166839e-02,8.961426975894999994e-03,1.009654105950836822e+00
8.466134678331731500e-01,1.275279992723522479e-02,2.550559985447044958e-02,9.869250165910370409e-01
8.900295431066691521e-01,2.021785354317777797e-02,2.560928115469185071e-02,1.004827321095935533e+00
9.334456183801651541e-01,3.469947887177950857e-02,3.212914710349954600e-02,1.008212636107815641e+00
9.768616936536613782e-01,7.368284402402548727e-02,5.894627521922038427e-02,1.021735437133153290e+00
1.020277768927157380e+00,7.525056410964338360e-02,9.523899520126739848e-02,1.024113145929677948e+00
1.063693844200653382e+00,1.195466551002049155e-01,1.263134468983297121e-01,9.975378909068985944e-01
1.107109919474149384e+00,1.300285482776924184e-01,1.343628332202821685e-01,1.006637677916468965e+00
1.150525994747645608e+00,1.887253976653100185e-01,1.782985801147403959e-01,1.002538507487268360e+00
1.193942070021141610e+00,2.220532981269504325e-01,2.310961926208081330e-01,9.821588186384345720e-01
1.237358145294637612e+00,3.238167092634812172e-01,2.801887095124134253e-01,1.009261060908035912e+00
1.280774220568133615e+00,3.690386510016866461e-01,3.390659686868288114e-01,9.642773888483157085e-01
1.324190295841629839e+00,4.384733177167433604e-01,4.457208105715655400e-01,1.030955858598458619e+00
1.367606371115125841e+00,5.394636794616162190e-01,5.017450807350316566e-01,1.023226637547927309e+00
1.411022446388621843e+00,5.806774900201110423e-01,6.146849564927383547e-01,9.628363945062602403e-01
1.454438521662117845e+00,6.837657951035519543e-01,7.002619542134084218e-01,1.053279759164337470e+00
1.497854596935614069e+00,7.416338431113843610e-01,7.552491512462585765e-01,1.004329200066604644e+00
1.541270672209110071e+00,8.717406898617131583e-01,8.444987933035346117e-01,1.013398551964241667e+00
1.584686747482606073e+00,9.773070373460680527e-01,9.515685096390453790e-01,9.958539176055403175e-01
1.628102822756102075e+00,1.029349331015634084e+00,1.049243698902120991e+00,1.000981436066384456e+00
1.671518898029598299e+00,1.070793538479024809e+00,1.078688128910170407e+00,9.667284827957416393e-01
1.714934973303094301e+00,1.177293289485143779e+00,1.136721090560522063e+00,1.010457609424414871e+00
1.758351048576590303e+00,1.256701839743104454e+00,1.249879354185324365e+00,9.814145474866752261e-01
1.801767123850086305e+00,1.336944133737140827e+00,1.305651118654648002e+00,9.883932104246939687e-01
1.845183199123582529e+00,1.336693476294674721e+00,1.336043333553286194e+00,9.791149685310214235e-01
1.888599274397078531e+00,1.356145448200818393e+00,1.362497417513234499e+00,9.975767805149345913e-01
1.932015349670574533e+00,1.382174248293378538e+00,1.361062871634809435e+00,1.034767917691336692e+00
1.975431424944070535e+00,1.444102772712629656e+00,1.395520677751733940e+00,1.001702070474971729e+00
2.018847500217566981e+00,1.363726830928542189e+00,1.432061726595985407e+00,9.650075701211121570e-01
2.062263575491062539e+00,1.329781432412550091e+00,1.349559458966367531e+00,9.950092476560223886e-01
2.105679650764558986e+00,1.350788839028075339e+00,1.389529303411841221e+00,9.927243998340030684e-01
2.149095726038054543e+00,1.318476345339008038e+00,1.324058378977191808e+00,1.024303172606723100e+00
2.192511801311550990e+00,1.337234189069691048e+00,1.355837283352984590e+00,1.037669656125478346e+00
2.235927876585046548e+00,1.301074490958224139e+00,1.254396766952712516e+00,1.018862044672027789e+00
2.279343951858542994e+00,1.251029430322194491e+00,1.246292676063507132e+00,1.003402443798596444e+00
2.322760027132039440e+00,1.231777450915661376e+00,1.231260982382782698e+00,9.810319782030603175e-01
2.366176102405534998e+00,1.156955849056150454e+00,1.207655053659838051e+00,9.787481448741887080e-01
2.409592177679031444e+00,1.113706230282063059e+00,1.133122655396502365e+00,9.947183943243460558e-01
2.453008252952527002e+00,1.092527479311991012e+00,1.103775524085570225e+00,9.983862350113830164e-01
2.496424328226023448e+00,1.026914593560931621e+00,1.037967020164535459e+00,1.003368119492384469e+00
2.539840403499519006e+00,1.081154038275607965e+00,1.009360497944505886e+00,9.869250165910365968e-01
2.583256478773015452e+00,1.050444915014778324e+00,9.747497244102650837e-01,9.775360504447870857e-01
2.626672554046511898e+00,9.563545995019209212e-01,9.654888363644034133e-01,9.780484120503168954e-01
2.670088629320007456e+00,8.756577012367451340e-01,9.165426939573935172e-01,1.017856604490428918e+00
2.713504704593503902e+00,8.665102457225429822e-01,8.961307490202014003e-01,9.978130737733569289e-01
2.756920779866999460e+00,8.659184622508510065e-01,8.502536056473181114e-01,9.797062400792920789e-01
2.800336855140495906e+00,8.396417109714566784e-01,8.494946494165298567e-01,1.007998441793794608e+00
2.843752930413991464e+00,8.221824217719063688e-01,8.740697680407336634e-01,1.024247778379778762e+00
2.887169005687487910e+00,8.060792334959215877e-01,8.251924524344846912e-01,9.859927943741350065e-01
2.930585080960983468e+00,8.031429998618788701e-01,7.916812241248082360e-01,1.006180170061416135e+00
2.974001156234479915e+00,8.196544108949915808e-01,8.119903194545363689e-01,9.703143136849912143e-01
3.017417231507976361e+00,8.201854706199541711e-01,8.217757478291057849e-01,9.977001640915050817e-01
3.060833306781471919e+00,7.728860022094629079e-01,8.007130337291747946e-01,1.021957530811954618e+00
3.104249382054968365e+00,8.517324557462544465e-01,8.289319952702884908e-01,1.012301800284624909e+00
3.147665457328463923e+00,8.430333671438549059e-01,8.620892750811030014e-01,9.800453452126685061e-01
3.191081532601960369e+00,8.518639008083784825e-01,8.522398336860520507e-01,1.007124179287575361e+00
3.234497607875455927e+00,8.801143735017459280e-01,8.793725999041885899e-01,9.930494037298460697e-01
3.277913683148952373e+00,8.790704868164280761e-01,8.688232038726895201e-01,1.023996345592159019e+00
3.321329758422448819e+00,9.123669804151447460e-01,9.094774571200848756e-01,9.855080388213469655e-01
3.364745833695944377e+00,9.319691336071125320e-01,9.184209977704368422e-01,1.023597315449892964e+00
3.408161908969440823e+00,9.676153099779274402e-01,9.376963207643501663e-01,1.020765514345576497e+00
3.451577984242936381e+00,9.512733211969739422e-01,9.829013344337019786e-01,1.014181787085411068e+00
