step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,476786.5,476786.5,0.0,0.22377929,1.8082686e+06,0.020863282
1,419601.0,471067.94,2.9431632e+08,0.22885743,1.543165e+06,0.020863282
2,373982.8,461359.44,1.1131816e+09,0.23583984,1.378596e+06,0.020863282
3,375273.44,452750.84,1.6688353e+09,0.22773439,1.5049129e+06,0.020863282
4,331294.88,440605.25,2.8295913e+09,0.22958985,1.3243584e+06,0.020863282
5,294087.5,425953.47,4.4787026e+09,0.23652345,1.257096e+06,0.020590235
6,324006.5,415758.78,4.966219e+09,0.24262697,1.4294764e+06,0.020590235
7,281638.5,402346.75,6.088539e+09,0.24536133,1.2821285e+06,0.020590235
8,232287.64,385340.84,8.0824945e+09,0.24672851,1.0662839e+06,0.020590235
9,209856.03,367792.38,1.0045788e+10,0.23535156,1.0716718e+06,0.020590235
10,163598.53,347373.0,1.2793771e+10,0.24467774,959994.44,0.020329047
11,127839.266,325419.62,1.5851949e+10,0.25073242,644375.44,0.020329047
12,112083.42,304086.0,1.8362866e+10,0.2515625,732246.56,0.020329047
13,109108.484,284588.25,1.9948038e+10,0.250293,683258.75,0.020329047
14,88949.03,265024.3,2.1397957e+10,0.24995118,577772.9,0.020329047
15,52992.668,243821.16,2.3304327e+10,0.2548828,259012.16,0.020081418
16,62465.64,225685.61,2.3933977e+10,0.25390625,511592.28,0.020081418
17,66203.17,209737.36,2.3829697e+10,0.25336915,568251.6,0.020081418
18,43409.793,193104.61,2.3936563e+10,0.25336915,405376.25,0.020081418
19,32835.48,177077.7,2.3854664e+10,0.2565918,185588.73,0.020081418
20,30533.094,162423.25,2.3401976e+10,0.25922853,205543.45,0.019841118
21,25028.514,148683.78,2.2760737e+10,0.26591796,32837.695,0.019841118
22,23854.613,136200.86,2.1887072e+10,0.2697754,28116.34,0.019841118
23,22496.219,124830.4,2.086195e+10,0.28183594,5762.9995,0.019841118
24,22178.926,114565.25,1.9724114e+10,0.2982422,9767.43,0.019841118
25,24703.223,105579.05,1.847847e+10,0.31513673,135024.84,0.019658566
26,20970.057,97118.15,1.7274903e+10,0.34892577,7500.674,0.019658566
27,20069.902,89413.32,1.6081691e+10,0.3798828,4942.8286,0.019658566
28,19637.928,82435.78,1.4911696e+10,0.4001953,6281.046,0.019658566
29,19430.73,76135.27,1.3777793e+10,0.4182129,1829.8223,0.019658566
30,19984.367,70520.18,1.2683777e+10,0.41098633,19692.584,0.019571263
31,19781.23,65446.285,1.1647099e+10,0.41860354,2460.6956,0.019571263
32,20165.219,60918.18,1.0666923e+10,0.4083496,17894.873,0.019571263
33,20014.865,56827.848,9.750808e+09,0.3926758,14027.198,0.019571263
34,19759.662,53121.027,8.899391e+09,0.3753418,5857.6484,0.019571263
35,19558.445,49764.77,8.1108326e+09,0.36918944,436.82764,0.019443674
36,19505.35,46738.83,7.382156e+09,0.3678223,1177.0137,0.019443674
37,19424.924,44007.438,6.7110845e+09,0.35590822,317.6868,0.019443674
38,19395.877,41546.28,6.094491e+09,0.3557617,251.60931,0.019443674
39,19372.734,39328.926,5.5292923e+09,0.34907228,252.57513,0.019443674
40,19369.79,37333.01,5.012216e+09,0.3509766,218.25922,0.019299336
41,19347.299,35534.44,4.540108e+09,0.34453124,213.52898,0.019299336
42,19344.068,33915.402,4.1096886e+09,0.34584963,207.08458,0.019299336
43,19324.39,32456.3,3.7178803e+09,0.3376953,210.25691,0.019299336
44,19323.244,31142.996,3.361615e+09,0.33452147,204.63107,0.019299336
45,19303.305,29959.027,3.0380695e+09,0.34091797,198.9604,0.019146437
46,19301.43,28893.268,2.744485e+09,0.3359375,188.4763,0.019146437
47,19292.229,27933.164,2.4783327e+09,0.33500975,211.56783,0.019146437
48,19289.836,27068.832,2.237223e+09,0.33286133,179.48035,0.019146437
49,19281.578,26290.107,2.0189583e+09,0.33066407,182.49716,0.019146437
50,19276.86,25588.783,1.8214892e+09,0.33032227,171.9435,0.018984687
51,19275.68,24957.473,1.6429272e+09,0.32983398,168.50249,0.018984687
52,19267.568,24388.482,1.4815482e+09,0.32612306,165.77748,0.018984687
53,19266.479,23876.281,1.3357545e+09,0.33447266,165.0719,0.018984687
54,19256.262,23414.28,1.2041e+09,0.32944337,171.70358,0.018984687
55,19256.861,22998.537,1.0852454e+09,0.32973632,168.41379,0.018823754
