row_m1,row_m2,row_kx,row_ky,col_m1,col_m2,col_kx,col_ky,gamma_real,gamma_imag
-4,-4,-3.54490770181,-3.54490770181,-4,-4,-3.54490770181,-3.54490770181,0.00224658002338,0
-4,-4,-3.54490770181,-3.54490770181,-4,-3,-3.54490770181,-2.65868077636,-2.9197563685e-05,0.000973211529502
-4,-4,-3.54490770181,-3.54490770181,-4,-2,-3.54490770181,-1.77245385091,0.000545831659817,0.000894112470841
-4,-4,-3.54490770181,-3.54490770181,-4,-1,-3.54490770181,-0.886226925453,-0.00491233867226,-0.00596354093401
-4,-4,-3.54490770181,-3.54490770181,-4,0,-3.54490770181,0,-0.000583765395932,0.000733800762511
-4,-4,-3.54490770181,-3.54490770181,-4,1,-3.54490770181,0.886226925453,0.000234625721008,-0.000314597689788
-4,-4,-3.54490770181,-3.54490770181,-4,2,-3.54490770181,1.77245385091,-0.00261720362546,0.0024122191056
-4,-4,-3.54490770181,-3.54490770181,-4,3,-3.54490770181,2.65868077636,-0.000156357607546,-0.00203169160741
-4,-4,-3.54490770181,-3.54490770181,-4,4,-3.54490770181,3.54490770181,-0.00343683815949,7.85026540894e-05
-4,-4,-3.54490770181,-3.54490770181,-3,-4,-2.65868077636,-3.54490770181,0.00024245680361,-0.00272152943943
-4,-4,-3.54490770181,-3.54490770181,-3,-3,-2.65868077636,-2.65868077636,0.00448269608629,-0.00263761460442
-4,-4,-3.54490770181,-3.54490770181,-3,-2,-2.65868077636,-1.77245385091,-0.00390569278892,0.00256153272662
-4,-4,-3.54490770181,-3.54490770181,-3,-1,-2.65868077636,-0.886226925453,-0.00199187737766,-0.00215131813649
-4,-4,-3.54490770181,-3.54490770181,-3,0,-2.65868077636,0,-0.00194107139992,-0.00173913228479
-4,-4,-3.54490770181,-3.54490770181,-3,1,-2.65868077636,0.886226925453,-0.0042237351745,0.000639048527398
-4,-4,-3.54490770181,-3.54490770181,-3,2,-2.65868077636,1.77245385091,-3.56228357343e-05,0.000462889710512
-4,-4,-3.54490770181,-3.54490770181,-3,3,-2.65868077636,2.65868077636,-0.00183995392251,-0.00598933148291
-4,-4,-3.54490770181,-3.54490770181,-3,4,-2.65868077636,3.54490770181,-0.00489786971278,0.000977161595315
-4,-4,-3.54490770181,-3.54490770181,-2,-4,-1.77245385091,-3.54490770181,-0.000686429557488,-0.00241813344516
-4,-4,-3.54490770181,-3.54490770181,-2,-3,-1.77245385091,-2.65868077636,0.00273835472116,0.00116854585535
-4,-4,-3.54490770181,-3.54490770181,-2,-2,-1.77245385091,-1.77245385091,-0.00147036284953,0.00331032364023
-4,-4,-3.54490770181,-3.54490770181,-2,-1,-1.77245385091,-0.886226925453,-0.00350429945003,-0.00338976205939
-4,-4,-3.54490770181,-3.54490770181,-2,0,-1.77245385091,0,0.00719489380892,-0.004832972945
