step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,20208.496,20208.496,0.0,0.99609375,348791.94,0.051255737
1,20439.824,20231.629,4816.143,0.9935547,206364.44,0.051255737
2,15376.625,19746.129,2.1257302e+06,0.9898926,175665.73,0.051255737
3,9512.041,18722.72,1.1339447e+07,0.98950195,84571.21,0.051255737
4,18571.953,18707.645,1.0207548e+07,0.9838379,202297.92,0.051255737
5,32195.012,20056.38,2.555861e+07,0.98359376,523544.53,0.05251019
6,11242.395,19174.982,2.999452e+07,0.99189454,79035.375,0.05251019
7,26152.215,19872.705,3.1376426e+07,0.985791,320544.6,0.05251019
8,12469.186,19132.354,3.3171872e+07,0.9875488,164602.19,0.05251019
9,34467.234,20665.842,5.101895e+07,0.98408204,563698.06,0.05251019
10,29926.828,21591.941,5.3635984e+07,0.97382814,404078.62,0.053769086
11,15304.648,20963.213,5.183009e+07,0.9736817,173080.02,0.053769086
12,14138.382,20280.73,5.083913e+07,0.9742187,138866.05,0.053769086
13,19017.895,20154.447,4.5898744e+07,0.96708983,195753.52,0.053769086
14,32370.215,21376.023,5.4739116e+07,0.96137697,517013.47,0.053769086
15,26564.828,21894.904,5.1688336e+07,0.9611328,415424.97,0.055023227
16,32568.719,22962.285,5.6773228e+07,0.9483399,484556.9,0.055023227
17,21526.506,22818.707,5.1281436e+07,0.9423828,223691.27,0.055023227
18,23365.79,22873.416,4.6180228e+07,0.9538574,343249.4,0.055023227
19,34817.05,24067.78,5.4400744e+07,0.96181643,531473.56,0.055023227
20,8158.9897,22476.9,7.173873e+07,0.9550781,43650.047,0.056289576
21,14557.756,21684.986,7.0209016e+07,0.93857425,141275.94,0.056289576
22,19105.934,21427.082,6.3786748e+07,0.9350586,293310.16,0.056289576
23,23552.473,21639.621,5.7814628e+07,0.92729497,273204.0,0.056289576
24,13940.977,20869.756,5.7367384e+07,0.92534184,179373.86,0.056289576
25,33958.445,22178.625,6.704889e+07,0.91611326,464594.62,0.05747298
26,21227.441,22083.506,6.0425424e+07,0.90966797,348274.9,0.05747298
27,17699.977,21645.152,5.611226e+07,0.9339844,199610.9,0.05747298
28,29958.74,22476.512,5.6721452e+07,0.91621095,447740.22,0.05747298
29,31014.148,23330.275,5.7609516e+07,0.91494143,388931.97,0.05747298
30,16001.09,22597.357,5.668309e+07,0.92333984,269430.34,0.058702484
31,25748.643,22912.486,5.1908532e+07,0.9230469,390486.6,0.058702484
32,25569.303,23178.168,4.735296e+07,0.929834,459429.06,0.058702484
33,30846.621,23945.014,4.791013e+07,0.90849614,413069.1,0.058702484
34,25580.262,24108.54,4.3359776e+07,0.90483403,399912.44,0.058702484
35,24712.566,24168.941,3.905663e+07,0.87846684,412675.1,0.059823904
36,21092.617,23861.309,3.6002708e+07,0.85727537,331683.38,0.059823904
37,12498.888,22725.066,4.4021852e+07,0.8617188,114029.125,0.059823904
38,22518.04,22704.363,3.9623524e+07,0.87905276,336139.9,0.059823904
39,35771.562,24011.084,5.1028824e+07,0.8535156,609200.75,0.059823904
40,37446.312,25354.607,6.2171424e+07,0.8390625,483862.1,0.060846753
41,17418.875,24561.035,6.1622104e+07,0.8611816,225952.55,0.060846753
42,23580.836,24463.016,5.5546364e+07,0.8722168,397317.3,0.060846753
43,30680.828,25084.797,5.3471236e+07,0.8762207,385167.66,0.060846753
44,19232.977,24499.615,5.1206052e+07,0.8754883,184437.69,0.060846753
45,27170.469,24766.701,4.6727456e+07,0.8775879,491979.22,0.06200642
46,26781.633,24968.195,4.2420104e+07,0.8598633,512251.75,0.06200642
47,12130.201,23684.396,5.301136e+07,0.8765625,99110.34,0.06200642
48,25812.814,23897.238,4.8117936e+07,0.8675293,313901.56,0.06200642
49,28479.857,24355.5,4.5196176e+07,0.8653809,455252.06,0.06200642
50,33165.844,25236.535,4.766255e+07,0.8565918,526407.75,0.06312189
51,21296.219,24842.504,4.4293644e+07,0.8406738,241404.73,0.06312189
52,20438.555,24402.11,4.160981e+07,0.8529297,377474.1,0.06312189
53,31990.371,25160.936,4.263118e+07,0.8624512,455048.3,0.06312189
54,23912.453,25036.088,3.8508344e+07,0.84882814,306885.56,0.06312189
55,30380.57,25570.535,3.722822e+07,0.8475586,379437.66,0.0642284
56,27496.328,25763.115,3.383918e+07,0.81879884,456844.78,0.0642284
57,19133.088,25100.113,3.4411416e+07,0.82368165,304840.12,0.0642284
58,13430.047,23933.107,4.3227416e+07,0.84467775,201818.94,0.0642284
