row_m1,row_m2,row_kx,row_ky,col_m1,col_m2,col_kx,col_ky,gamma_real,gamma_imag
-4,-4,-4.13486431176,-4.13486431176,-4,-4,-4.13486431176,-4.13486431176,-0.00237346694473,0
-4,-4,-4.13486431176,-4.13486431176,-4,-3,-4.13486431176,-3.10114823382,-0.00181292139131,0.00130805767255
-4,-4,-4.13486431176,-4.13486431176,-4,-2,-4.13486431176,-2.06743215588,0.00050665354802,-0.00173455409243
-4,-4,-4.13486431176,-4.13486431176,-4,-1,-4.13486431176,-1.03371607794,-0.00698054443731,4.14096446834e-05
-4,-4,-4.13486431176,-4.13486431176,-4,0,-4.13486431176,0,0.0100864758484,-0.00681290252462
-4,-4,-4.13486431176,-4.13486431176,-4,1,-4.13486431176,1.03371607794,-0.00376517356642,0.00963669762943
-4,-4,-4.13486431176,-4.13486431176,-4,2,-4.13486431176,2.06743215588,-0.00723165077909,-0.00476359373588
-4,-4,-4.13486431176,-4.13486431176,-4,3,-4.13486431176,3.10114823382,-0.00294159346764,0.00707143049417
-4,-4,-4.13486431176,-4.13486431176,-4,4,-4.13486431176,4.13486431176,0.00382797496481,-0.00393298205349
-4,-4,-4.13486431176,-4.13486431176,-3,-4,-3.10114823382,-4.13486431176,0.00417501382118,-0.00448787921185
-4,-4,-4.13486431176,-4.13486431176,-3,-3,-3.10114823382,-3.10114823382,-0.00935383302761,0.000466928636592
-4,-4,-4.13486431176,-4.13486431176,-3,-2,-3.10114823382,-2.06743215588,-0.00501971439793,-0.00433781091173
-4,-4,-4.13486431176,-4.13486431176,-3,-1,-3.10114823382,-1.03371607794,0.000129612739085,-0.000815790442695
-4,-4,-4.13486431176,-4.13486431176,-3,0,-3.10114823382,0,-0.0109505952558,-0.0006334286187
-4,-4,-4.13486431176,-4.13486431176,-3,1,-3.10114823382,1.03371607794,0.00597830141221,0.0147909449623
-4,-4,-4.13486431176,-4.13486431176,-3,2,-3.10114823382,2.06743215588,-0.00617607393463,0.00221654686456
-4,-4,-4.13486431176,-4.13486431176,-3,3,-3.10114823382,3.10114823382,0.00276262829677,0.00404515630362
-4,-4,-4.13486431176,-4.13486431176,-3,4,-3.10114823382,4.13486431176,-0.000831904434428,-0.00264436929252
-4,-4,-4.13486431176,-4.13486431176,-2,-4,-2.06743215588,-4.13486431176,0.00150887137921,0.0026644145008
-4,-4,-4.13486431176,-4.13486431176,-2,-3,-2.06743215588,-3.10114823382,0.00499150440721,0.00778463937605
-4,-4,-4.13486431176,-4.13486431176,-2,-2,-2.06743215588,-2.06743215588,-0.00175291470564,-0.0168682397983
-4,-4,-4.13486431176,-4.13486431176,-2,-1,-2.06743215588,-1.03371607794,-0.00925466784195,0.000373495043857
-4,-4,-4.13486431176,-4.13486431176,-2,0,-2.06743215588,0,0.0288787584227,0.0102718396059
-4,-4,-4.13486431176,-4.13486431176,-2,1,-2.06743215588,1.03371607794,0.00936586068756,-0.010721768336
-4,-4,-4.13486431176,-4.13486431176,-2,2,-2.06743215588,2.06743215588,-0.0110984087966,0.00754005525995
-4,-4,-4.13486431176,-4.13486431176,-2,3,-2.06743215588,3.10114823382,0.00203190158998,0.000577904648709
-4,-4,-4.13486431176,-4.13486431176,-2,4,-2.06743215588,4.13486431176,-0.00118688290877,-0.00278011906994
-4,-4,-4.13486431176,-4.13486431176,-1,-4,-1.03371607794,-4.13486431176,0.00404874865892,-0.0113200233241
-4,-4,-4.13486431176,-4.13486431176,-1,-3,-1.03371607794,-3.10114823382,-0.0194870578402,-0.00266860564928
