row_m1,row_m2,row_kx,row_ky,col_m1,col_m2,col_kx,col_ky,gamma_real,gamma_imag
-3,-3,-4.34160752735,-4.34160752735,-3,-3,-4.34160752735,-4.34160752735,0.0319807581639,0
-3,-3,-4.34160752735,-4.34160752735,-3,-2,-4.34160752735,-2.89440501823,-0.00911116458572,-0.00976838155426
-3,-3,-4.34160752735,-4.34160752735,-3,-1,-4.34160752735,-1.44720250912,0.0189043716672,-0.00012677142319
-3,-3,-4.34160752735,-4.34160752735,-3,0,-4.34160752735,0,0.00593517213382,0.00470816001135
-3,-3,-4.34160752735,-4.34160752735,-3,1,-4.34160752735,1.44720250912,0.0238983051058,0.035966204101
-3,-3,-4.34160752735,-4.34160752735,-3,2,-4.34160752735,2.89440501823,0.00853905685716,-0.0222503844516
-3,-3,-4.34160752735,-4.34160752735,-3,3,-4.34160752735,4.34160752735,0.00521257361989,0.003372780753
-3,-3,-4.34160752735,-4.34160752735,-2,-3,-2.89440501823,-4.34160752735,-0.0207658278229,0.00404012894493
-3,-3,-4.34160752735,-4.34160752735,-2,-2,-2.89440501823,-2.89440501823,0.00365619332286,-0.00403178295355
-3,-3,-4.34160752735,-4.34160752735,-2,-1,-2.89440501823,-1.44720250912,-0.00548349509236,-0.0138963722628
-3,-3,-4.34160752735,-4.34160752735,-2,0,-2.89440501823,0,-0.00687766256773,0.0041945173596
-3,-3,-4.34160752735,-4.34160752735,-2,1,-2.89440501823,1.44720250912,-0.0250036361138,-0.0030087849654
-3,-3,-4.34160752735,-4.34160752735,-2,2,-2.89440501823,2.89440501823,0.0212951489464,-0.00120658318497
-3,-3,-4.34160752735,-4.34160752735,-2,3,-2.89440501823,4.34160752735,-0.0138619337451,0.00439375759704
-3,-3,-4.34160752735,-4.34160752735,-1,-3,-1.44720250912,-4.34160752735,-0.00136609905289,-0.0320528283635
-3,-3,-4.34160752735,-4.34160752735,-1,-2,-1.44720250912,-2.89440501823,0.0133677734744,-0.00432196720151
-3,-3,-4.34160752735,-4.34160752735,-1,-1,-1.44720250912,-1.44720250912,0.0133806693014,0.00076724166589
-3,-3,-4.34160752735,-4.34160752735,-1,0,-1.44720250912,0,-0.0115502142442,0.00591436056083
-3,-3,-4.34160752735,-4.34160752735,-1,1,-1.44720250912,1.44720250912,0.0251807506346,-0.0209311512386
-3,-3,-4.34160752735,-4.34160752735,-1,2,-1.44720250912,2.89440501823,0.018851303644,-0.00137441791397
-3,-3,-4.34160752735,-4.34160752735,-1,3,-1.44720250912,4.34160752735,-0.0140481077438,-0.00937041814912
-3,-3,-4.34160752735,-4.34160752735,0,-3,0,-4.34160752735,0.00662055802016,0.0116622449882
-3,-3,-4.34160752735,-4.34160752735,0,-2,0,-2.89440501823,-0.013478847879,0.0167918394335
-3,-3,-4.34160752735,-4.34160752735,0,-1,0,-1.44720250912,-0.0078008785728,0.0901984417068
-3,-3,-4.34160752735,-4.34160752735,0,0,0,0,0.0187377405177,-0.0436782966197
-3,-3,-4.34160752735,-4.34160752735,0,1,0,1.44720250912,0.00243088663763,0.0182105319062
-3,-3,-4.34160752735,-4.34160752735,0,2,0,2.89440501823,-0.00778980143843,0.00335574572092
-3,-3,-4.34160752735,-4.34160752735,0,3,0,4.34160752735,-0.0206734608527,0.0170558376172
-3,-3,-4.34160752735,-4.34160752735,1,-3,1.44720250912,-4.34160752735,-0.0127214840892,-0.00741109916096
-3,-3,-4.34160752735,-4.34160752735,1,-2,1.44720250912,-2.89440501823,-0.00521767930857,-0.00137180809969
-3,-3,-4.34160752735,-4.34160752735,1,-1,1.44720250912,-1.44720250912,0.00221116599809,-0.0285565874561
-3,-3,-4.34160752735,-4.34160752735,1,0,1.44720250912,0,0.0196059426554,0.0217384587244
-3,-3,-4.34160752735,-4.34160752735,1,1,1.44720250912,1.44720250912,-0.00196411124522,0.00180341508647
-3,-3,-4.34160752735,-4.34160752735,1,2,1.44720250912,2.89440501823,-0.00493505534928,-0.0112532182534
-3,-3,-4.34160752735,-4.34160752735,1,3,1.44720250912,4.34160752735,-0.00986766022391,-0.0207772186369
-3,-3,-4.34160752735,-4.34160752735,2,-3,2.89440501823,-4.34160752735,-0.000878421339907,-0.0170199086407
-3,-3,-4.34160752735,-4.34160752735,2,-2,2.89440501823,-2.89440501823,0.00329883564521,0.00761912299513
-3,-3,-4.34160752735,-4.34160752735,2,-1,2.89440501823,-1.44720250912,0.0313275209922,0.0137213923996
-3,-3,-4.34160752735,-4.34160752735,2,0,2.89440501823,0,-0.00217725806358,0.00983104479946
-3,-3,-4.34160752735,-4.34160752735,2,1,2.89440501823,1.44720250912,0.00139734954016,-0.0170039806064
-3,-3,-4.34160752735,-4.34160752735,2,2,2.89440501823,2.89440501823,0.0032057852221,-0.000364228078251
-3,-3,-4.34160752735,-4.34160752735,2,3,2.89440501823,4.34160752735,0.00895012029521,0.0104044974924
-3,-3,-4.34160752735,-4.34160752735,3,-3,4.34160752735,-4.34160752735,-0.000896994636479,-0.00340531891683
-3,-3,-4.34160752735,-4.34160752735,3,-2,4.34160752735,-2.89440501823,0.0054095152085,0.0104593513982
-3,-3,-4.34160752735,-4.34160752735,3,-1,4.34160752735,-1.44720250912,-0.0093275872671,0.00926566205284
-3,-3,-4.34160752735,-4.34160752735,3,0,4.34160752735,0,-0.0105075802328,-0.0275720666917
-3,-3,-4.34160752735,-4.34160752735,3,1,4.34160752735,1.44720250912,-0.0171031999451,0.00954878716505
-3,-3,-4.34160752735,-4.34160752735,3,2,4.34160752735,2.89440501823,0.010217567646,0.00454688830539
-3,-3,-4.34160752735,-4.34160752735,3,3,4.34160752735,4.34160752735,-0.00919356528854,-0.00588587781258
-3,-2,-4.34160752735,-2.89440501823,-3,-3,-4.34160752735,-4.34160752735,-0.00911116458572,0.00976838155426
-3,-2,-4.34160752735,-2.89440501823,-3,-2,-4.34160752735,-2.89440501823,0.073278103131,0
-3,-2,-4.34160752735,-2.89440501823,-3,-1,-4.34160752735,-1.44720250912,0.00970884546719,-0.00520577074576
-3,-2,-4.34160752735,-2.89440501823,-3,0,-4.34160752735,0,-0.0254717070059,0.011619026596
-3,-2,-4.34160752735,-2.89440501823,-3,1,-4.34160752735,1.44720250912,0.0178108860655,-0.00977959470038
-3,-2,-4.34160752735,-2.89440501823,-3,2,-4.34160752735,2.89440501823,0.0317294887725,0.0230532353117
-3,-2,-4.34160752735,-2.89440501823,-3,3,-4.34160752735,4.34160752735,-0.00404484349566,0.00589503379257
