row_m1,row_m2,row_kx,row_ky,col_m1,col_m2,col_kx,col_ky,gamma_real,gamma_imag
-3,-3,-4.34160752735,-4.34160752735,-3,-3,-4.34160752735,-4.34160752735,0.0279286596513,0
-3,-3,-4.34160752735,-4.34160752735,-3,-2,-4.34160752735,-2.89440501823,0.00389789044557,0.00122373072715
-3,-3,-4.34160752735,-4.34160752735,-3,-1,-4.34160752735,-1.44720250912,-0.0130963548006,0.000987502752931
-3,-3,-4.34160752735,-4.34160752735,-3,0,-4.34160752735,0,0.00677272769765,0.0061994393473
-3,-3,-4.34160752735,-4.34160752735,-3,1,-4.34160752735,1.44720250912,0.0017589996684,-0.0011116375652
-3,-3,-4.34160752735,-4.34160752735,-3,2,-4.34160752735,2.89440501823,-0.0107733823562,-0.00737286138318
-3,-3,-4.34160752735,-4.34160752735,-3,3,-4.34160752735,4.34160752735,0.00296314034052,-0.00822911948386
-3,-3,-4.34160752735,-4.34160752735,-2,-3,-2.89440501823,-4.34160752735,-0.0106240660896,0.00166365505468
-3,-3,-4.34160752735,-4.34160752735,-2,-2,-2.89440501823,-2.89440501823,-0.000954814958227,-0.0024929879724
-3,-3,-4.34160752735,-4.34160752735,-2,-1,-2.89440501823,-1.44720250912,0.00122250207321,0.00880810695129
-3,-3,-4.34160752735,-4.34160752735,-2,0,-2.89440501823,0,0.00353148643224,0.0101217441113
-3,-3,-4.34160752735,-4.34160752735,-2,1,-2.89440501823,1.44720250912,0.00905878021187,-0.00155010496241
-3,-3,-4.34160752735,-4.34160752735,-2,2,-2.89440501823,2.89440501823,-0.00321727549132,0.001178320783
-3,-3,-4.34160752735,-4.34160752735,-2,3,-2.89440501823,4.34160752735,-0.00342725973786,0.00407145869111
-3,-3,-4.34160752735,-4.34160752735,-1,-3,-1.44720250912,-4.34160752735,-0.00409940073479,-0.000132263145642
-3,-3,-4.34160752735,-4.34160752735,-1,-2,-1.44720250912,-2.89440501823,0.00512433377462,-0.00722042755808
-3,-3,-4.34160752735,-4.34160752735,-1,-1,-1.44720250912,-1.44720250912,0.0137345064392,0.00929434275219
