r,rho1_top,rho1_top_stderr,rho1_bottom,rho1_bottom_stderr
0,0.999998450279,1.44331494312e-07,0.999998450279,1.44331494312e-07
0.044302117626,0.99412125349,0.00181413593236,0.993982791901,0.00180137529969
0.088604235252,0.976711392403,0.00360490614548,0.976161122322,0.00357703911141
0.132906352878,0.948417067528,0.00534915458411,0.947205662727,0.0053039630875
0.177208470504,0.910265743732,0.00702435150743,0.908201813698,0.00696387235075
0.22151058813,0.863600790501,0.00860959850252,0.860576272011,0.00854421593249
0.265812705756,0.810005307198,0.0100868735462,0.805998206139,0.0100374342874
0.310114823382,0.751210808754,0.01144191809,0.746276497841,0.0114381853491
0.354416941008,0.688997745514,0.0126639036462,0.683252811432,0.0127390604466
0.398719058634,0.625105559826,0.0137436334044,0.618701577187,0.013925852254
0.44302117626,0.561148405075,0.0146711245179,0.554249763489,0.0149740837514
0.487323293886,0.498558610678,0.0154345463961,0.491319358349,0.0158490911126
0.531625411512,0.438550382853,0.0160206854343,0.431084096432,0.0165095031261
0.575927529138,0.382080078125,0.0164123177528,0.374461770058,0.0169141851366
0.620229646764,0.329821497202,0.0165858976543,0.322121918201,0.017030024901
0.66453176439,0.282175660133,0.0165137965232,0.274497210979,0.0168388113379
0.708833882016,0.239306598902,0.0161697585136,0.231807351112,0.0163402277976
0.753135999642,0.201197192073,0.0155378971249,0.194084405899,0.0155533747748
0.797438117268,0.167696818709,0.0146207045764,0.161201864481,0.0145155685022
0.841740234894,0.138569265604,0.0134447775781,0.132912501693,0.0132783632725
0.88604235252,0.113527864218,0.0120625458658,0.10888543725,0.0119033418596
0.930344470146,0.0922590643167,0.0105477469042,0.0887393578887,0.0104565750808
0.974646587772,0.0744318962097,0.0089858872816,0.0720841288567,0.00900434143841
1.0189487054,0.0597064495087,0.00746212946251,0.0585460886359,0.0076092723757
1.06325082302,0.0477351881564,0.0060499701649,0.047779545188,0.00632983539253
1.10755294065,0.0381681285799,0.00480368314311,0.0394649207592,0.00522188423201
1.15185505828,0.0306636989117,0.00375555385835,0.0333068668842,0.00434427848086
1.1961571759,0.024896979332,0.00291699194349,0.0290294736624,0.00376193528064
1.24045929353,0.0205639414489,0.00228106672876,0.0263739153743,0.00353076891042
1.28476141115,0.0173851195723,0.00182568118908,0.0250945538282,0.00365706975572
1.32906352878,0.0151118999347,0.00151865277439,0.0249536782503,0.00408278312534
1.37336564641,0.0135337319225,0.00132470973767,0.025732556358,0.00473257573321
1.41766776403,0.012479590252,0.00121093099006,0.0272463466972,0.00556132709607
1.46196988166,0.0118100624532,0.00114982714877,0.0293537601829,0.00656664045528
1.50627199928,0.0114125255495,0.00112185359467,0.0319667235017,0.00778482062742
1.55057411691,0.0111999306828,0.00111453514546,0.0350514836609,0.0092792827636
1.59487623454,0.0111075835302,0.00111965683755,0.0386242456734,0.0111262351274
1.63917835216,0.0110880006105,0.00113115063868,0.0427371747792,0.0133968787268
1.68348046979,0.0111068319529,0.00114434328862,0.0474601425231,0.0161437690258
1.72778258741,0.0111404461786,0.00115612137597,0.052854668349,0.0193933546543
1.77208470504,0.011173765175,0.00116539618466,0.0589384883642,0.023138994351
1.81638682267,0.011197979562,0.00117310229689,0.0656546354294,0.0273362975568
1.86068894029,0.0112084103748,0.00118136557285,0.0728478729725,0.0318900868297
1.90499105792,0.0112024508417,0.00119222258218,0.0802565589547,0.036646746099
1.94929317554,0.0111775230616,0.00120626203716,0.087517529726,0.0413880869746
1.99359529317,0.0111309010535,0.00122228893451,0.0942012220621,0.0458416268229
2.0378974108,0.0110594145954,0.00123782490846,0.0998581647873,0.0497074276209
2.08219952842,0.0109597705305,0.00125010183547,0.104076251388,0.0526931844652
2.12650164605,0.0108292112127,0.00125683937222,0.106535598636,0.0545550845563
2.17080376367,0.0106664411724,0.00125663063955,0.107051126659,0.055134832859
