layer,eigen_index,occupation,fraction
top,0,1.05808696699,0.0881739139155
top,1,0.768725459692,0.0640604549743
top,2,0.744146138477,0.0620121782064
top,3,0.671843455589,0.0559869546324
top,4,0.646246332422,0.0538538610352
top,5,0.589446233182,0.0491205194318
top,6,0.567369381682,0.0472807818068
top,7,0.52715223189,0.0439293526575
top,8,0.475223538976,0.0396019615813
top,9,0.455484631343,0.0379570526119
top,10,0.431431037561,0.0359525864634
top,11,0.38621368984,0.0321844741533
top,12,0.358581668505,0.0298818057088
top,13,0.347458736667,0.0289548947223
top,14,0.322523717883,0.0268769764903
top,15,0.316058295603,0.0263381913003
top,16,0.284617329826,0.0237181108188
top,17,0.262332233313,0.0218610194427
top,18,0.239303901706,0.0199419918088
top,19,0.224608136114,0.0187173446762
top,20,0.2172732204,0.0181061017
top,21,0.192174188588,0.0160145157156
top,22,0.179901185668,0.0149917654723
top,23,0.16765890741,0.0139715756175
top,24,0.155090531418,0.0129242109515
top,25,0.144686686982,0.0120572239151
top,26,0.13278019641,0.0110650163675
top,27,0.129474637257,0.0107895531047
top,28,0.119122650116,0.00992688750969
top,29,0.111376209824,0.00928135081864
top,30,0.108123821331,0.00901031844425
top,31,0.0971029359556,0.00809191132963
top,32,0.0924554909178,0.00770462424315
top,33,0.0870471156755,0.00725392630629
top,34,0.0805515651755,0.00671263043129
top,35,0.0708893977052,0.00590744980876
top,36,0.0673483365543,0.00561236137952
top,37,0.0629104503685,0.00524253753071
top,38,0.0540849364297,0.00450707803581
top,39,0.047220604437,0.00393505036975
top,40,0.0458898084906,0.00382415070755
top,41,0.0454111824918,0.00378426520765
top,42,0.0402407771878,0.00335339809899
top,43,0.0350973563721,0.00292477969768
top,44,0.0324781280714,0.00270651067262
top,45,0.0283178797143,0.00235982330952
top,46,0.0264605933577,0.00220504944648
top,47,0.0238771106278,0.00198975921898
top,48,0.0222507316294,0.00185422763578
top,49,0.0185624570829,0.00154687142358
top,50,0.0165296031818,0.00137746693182
top,51,0.0136590845349,0.00113825704457
top,52,0.0134153211405,0.00111794342837
top,53,0.00954587002664,0.000795489168886
top,54,0.00916680187902,0.000763900156585
top,55,0.00656351527242,0.000546959606035
top,56,0.00557313668623,0.000464428057186
top,57,0.00311763765167,0.000259803137639
top,58,0.00227045807931,0.000189204839942
