step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,24430.531,24430.531,0.0,0.9950684,385737.2,0.051253114
1,14754.002,23462.879,8.42717e+06,0.99482423,259502.39,0.051253114
2,30618.658,24178.457,1.2192919e+07,0.9879883,394004.44,0.051253114
3,29915.871,24752.2,1.393624e+07,0.9855957,443758.7,0.051253114
4,11071.555,23384.135,2.9387018e+07,0.9842285,81473.89,0.051253114
5,17130.594,22758.781,2.9967926e+07,0.9824707,232788.02,0.052504543
6,27245.39,23207.441,2.8782802e+07,0.9805176,370144.28,0.052504543
7,25925.787,23479.275,2.6569568e+07,0.9850586,370998.22,0.052504543
8,23758.207,23507.168,2.3919612e+07,0.98447263,340093.16,0.052504543
9,15183.662,22674.816,2.7762918e+07,0.98061526,140390.72,0.052504543
10,24376.0,22844.936,2.5247088e+07,0.9801758,351606.12,0.053780366
11,25255.197,23085.96,2.324522e+07,0.9756348,302975.0,0.053780366
12,21125.13,22889.879,2.1266734e+07,0.97524416,268737.78,0.053780366
13,25848.637,23185.754,1.9927942e+07,0.9665039,447818.88,0.053780366
14,18086.178,22675.797,2.0275658e+07,0.95000005,357143.34,0.053780366
15,10781.86,21486.402,3.0980008e+07,0.92729497,70661.36,0.054941732
16,34292.42,22767.004,4.2641476e+07,0.91704106,474875.94,0.054941732
17,19507.238,22441.027,3.9333676e+07,0.9324707,186588.77,0.054941732
18,16198.542,21816.78,3.8907484e+07,0.94677734,200381.48,0.054941732
19,18154.156,21450.518,3.6224068e+07,0.94448245,193080.97,0.054941732
20,26794.031,21984.87,3.5171444e+07,0.94077146,413811.1,0.056166004
21,21979.674,21984.35,3.1654302e+07,0.9277344,382172.4,0.056166004
22,23282.516,22114.166,2.8640542e+07,0.9402832,338160.2,0.056166004
23,29189.535,22821.703,3.0281964e+07,0.9286621,421831.6,0.056166004
24,21775.785,22717.111,2.7352222e+07,0.93193364,368708.34,0.056166004
25,12591.008,21704.5,3.3845416e+07,0.9309571,112292.234,0.05738939
26,14323.832,20966.434,3.5363556e+07,0.9341309,196085.7,0.05738939
27,12118.692,20081.66,3.8872628e+07,0.9316406,97242.06,0.05738939
28,27991.236,20872.617,4.0615892e+07,0.91079104,374505.7,0.05738939
29,15463.578,20331.713,3.9187496e+07,0.9320313,118434.016,0.05738939
30,20226.059,20321.148,3.5269748e+07,0.91865236,287502.56,0.058603365
31,15773.825,19866.416,3.360381e+07,0.91630864,349418.5,0.058603365
32,12617.865,19141.56,3.497216e+07,0.91865236,117591.65,0.058603365
33,19430.16,19170.42,3.1482438e+07,0.9178711,220438.44,0.058603365
34,37161.484,20969.527,5.7465252e+07,0.8961914,560707.25,0.058603365
35,41269.14,22999.488,8.880541e+07,0.8968262,600417.56,0.059777737
36,14520.727,22151.611,8.639491e+07,0.9027832,157690.28,0.059777737
37,10673.355,21003.785,8.961294e+07,0.9082031,89775.69,0.059777737
38,23619.523,21265.36,8.126743e+07,0.91860354,402863.06,0.059777737
39,19388.375,21077.66,7.345776e+07,0.93007815,374247.62,0.059777737
40,20135.8,20983.475,6.6191824e+07,0.9244629,337488.84,0.061059963
41,11586.407,20043.768,6.752008e+07,0.9350586,115318.46,0.061059963
42,20831.29,20122.52,6.0823884e+07,0.9314941,264632.47,0.061059963
43,17860.135,19896.281,5.520215e+07,0.928125,267157.25,0.061059963
44,16004.869,19507.14,5.1044812e+07,0.9200195,197137.88,0.061059963
45,22534.797,19809.906,4.6765336e+07,0.91538084,302888.2,0.062341385
46,22631.883,20092.104,4.280552e+07,0.9265137,265680.03,0.062341385
47,29929.576,21075.852,4.7234796e+07,0.92485356,431063.6,0.062341385
48,10720.919,20040.357,5.2161532e+07,0.92343754,92163.164,0.062341385
49,8833.1455,18919.637,5.824952e+07,0.9250977,67533.695,0.062341385
50,13877.818,18415.455,5.471236e+07,0.91748047,148157.88,0.06365638
51,11334.18,17707.328,5.3754124e+07,0.9195313,94571.56,0.06365638
52,31710.213,19107.617,6.602598e+07,0.907666,475171.44,0.06365638
53,10173.678,18214.223,6.660675e+07,0.9129394,99538.945,0.06365638
54,16536.367,18046.438,6.0199444e+07,0.9211426,134273.12,0.06365638
55,19228.908,18164.684,5.430534e+07,0.92817384,339218.34,0.065033875
56,12737.059,17621.922,5.1526124e+07,0.91689456,142814.73,0.065033875
57,16557.215,17515.451,4.6475536e+07,0.90493166,181571.47,0.065033875
58,23759.982,18139.904,4.5337456e+07,0.898584,437344.84,0.065033875
59,21101.436,18436.057,4.159307e+07,0.9064453,245656.3,0.065033875
60,21297.734,18722.225,3.817079e+07,0.90415037,260706.47,0.06636141
61,17010.395,18551.041,3.4617444e+07,0.90107423,166110.7,0.06636141
62,18237.8,18519.717,3.116453e+07,0.9073731,225001.97,0.06636141
63,12324.631,17900.209,3.1502196e+07,0.9031738,129213.41,0.06636141
64,8893.105,16999.498,3.565349e+07,0.9050781,70559.56,0.06636141
65,29930.262,18292.574,4.7136556e+07,0.91123044,433911.3,0.06774002
66,13951.5,17858.467,4.4118944e+07,0.8887695,216103.23,0.06774002
67,16093.539,17681.975,3.9987396e+07,0.8892578,185168.02,0.06774002
68,28883.508,18802.129,4.7281348e+07,0.88022465,374292.1,0.06774002
69,24309.445,19352.861,4.528296e+07,0.87309575,334932.8,0.06774002
70,13318.717,18749.447,4.4031644e+07,0.8597168,189287.7,0.068969406
71,15260.393,18400.541,4.0724096e+07,0.8595703,199873.44,0.068969406
72,11292.441,17689.73,4.1198944e+07,0.84824216,105468.85,0.068969406
73,19292.07,17849.965,3.731012e+07,0.853125,322353.1,0.068969406
74,44987.58,20563.727,9.985962e+07,0.84350586,612611.0,0.068969406
75,14442.864,19951.64,9.3245496e+07,0.83920896,122180.67,0.07014912
76,18045.47,19761.023,8.424796e+07,0.8433106,261128.98,0.07014912
77,12862.924,19071.213,8.0105704e+07,0.83574224,124022.97,0.07014912
78,28169.39,19981.031,7.954505e+07,0.8419434,402610.2,0.07014912
79,23086.604,20291.588,7.245855e+07,0.8244141,287882.88,0.07014912
80,23306.629,20593.092,6.603084e+07,0.8249512,354385.53,0.07129818
81,21649.473,20698.73,5.952819e+07,0.83095706,321712.06,0.07129818
82,11819.574,19810.814,6.067092e+07,0.82724607,111886.58,0.07129818
83,21614.535,19991.188,5.489663e+07,0.80810547,398817.2,0.07129818
84,12135.738,19205.643,5.4960696e+07,0.8123047,192998.66,0.07129818
85,12671.012,18552.18,5.330775e+07,0.80751956,97104.27,0.07240295
86,9403.798,17637.342,5.5509336e+07,0.8079102,80463.875,0.07240295
87,15177.624,17391.37,5.050292e+07,0.8030274,248427.05,0.07240295
88,20667.047,17718.938,4.6418332e+07,0.77563477,437360.84,0.07240295
89,10096.478,16956.691,4.7005668e+07,0.77924806,91349.43,0.07240295
90,28017.945,18062.816,5.331672e+07,0.77973634,396015.3,0.073422745
91,15675.012,17824.035,4.849819e+07,0.7722168,184004.11,0.073422745
92,33200.418,19361.674,6.492735e+07,0.75498044,506820.5,0.073422745
93,28789.297,20304.436,6.6433824e+07,0.7525879,368343.38,0.073422745
94,12246.707,19498.662,6.5633868e+07,0.77319336,114662.836,0.073422745
95,22145.531,19763.35,5.9701012e+07,0.7617676,358560.53,0.074390054
96,17074.164,19494.432,5.4381764e+07,0.75942385,227947.72,0.074390054
97,18176.053,19362.594,4.9100016e+07,0.74970704,181311.08,0.074390054
98,31127.344,20539.068,5.6646856e+07,0.77060544,503499.4,0.074390054
99,18175.678,20302.729,5.148487e+07,0.77885747,184178.66,0.074390054
100,27929.19,21065.375,5.157105e+07,0.7717285,539131.6,0.075407654
101,16064.197,20565.258,4.8665e+07,0.76772463,207688.66,0.075407654
102,34538.336,21962.566,6.1370724e+07,0.7621582,477160.84,0.075407654
103,15286.361,21294.945,5.9245104e+07,0.7552246,333584.34,0.075407654
104,18073.041,20972.754,5.4254852e+07,0.74658203,300686.1,0.075407654
105,13151.394,20190.617,5.4334996e+07,0.74033207,190703.4,0.07631926
106,11477.422,19319.297,5.573427e+07,0.7462891,125508.32,0.07631926
107,35684.75,20955.842,7.426537e+07,0.7419922,492832.22,0.07631926
108,8721.26,19732.383,8.031048e+07,0.7224121,66548.57,0.07631926
109,18525.219,19611.666,7.2410584e+07,0.7151855,238502.92,0.07631926
110,13922.673,19042.768,6.8082344e+07,0.7109863,332331.78,0.077128634
111,29231.605,20061.652,7.0617224e+07,0.714502,458095.62,0.077128634
112,15231.786,19578.666,6.5654984e+07,0.7077637,193911.44,0.077128634
113,17964.285,19417.229,5.9324044e+07,0.71513677,360619.44,0.077128634
114,24622.66,19937.771,5.5830324e+07,0.7039063,320410.34,0.077128634
115,21597.182,20103.713,5.0495116e+07,0.7176758,446495.1,0.07797267
116,17077.748,19801.117,4.626969e+07,0.7038086,157899.7,0.07797267
117,17940.441,19615.049,4.1954308e+07,0.6977051,244788.4,0.07797267
118,16609.912,19314.535,3.8571652e+07,0.6912598,262841.94,0.07797267
119,30943.676,20477.45,4.688581e+07,0.6967285,524847.56,0.07797267
120,23480.68,20777.771,4.3008972e+07,0.6858399,394387.6,0.078700565
121,11186.328,19818.627,4.6987696e+07,0.6833985,112194.04,0.078700565
122,9454.407,18782.205,5.195646e+07,0.6887696,69803.91,0.078700565
123,15907.583,18494.742,4.7504524e+07,0.67280275,175236.84,0.078700565
124,26549.66,19300.234,4.8593424e+07,0.6744629,457045.72,0.078700565
125,24834.855,19853.697,4.6490964e+07,0.6756348,527066.8,0.07939473
126,9294.178,18797.746,5.187718e+07,0.6850098,68645.24,0.07939473
127,16652.227,18583.193,4.710375e+07,0.69453126,226404.4,0.07939473
128,26238.195,19348.693,4.766729e+07,0.69096684,314320.56,0.07939473
129,23609.744,19774.799,4.453465e+07,0.6796387,355057.12,0.07939473
130,15662.341,19363.553,4.1603292e+07,0.67104495,201336.61,0.08007665
131,14356.548,18862.852,3.9699268e+07,0.6687012,205459.83,0.08007665
132,15650.941,18541.66,3.6657812e+07,0.66499025,190701.12,0.08007665
133,14310.278,18118.521,3.4603444e+07,0.66860354,170038.88,0.08007665
134,28646.129,19171.281,4.1117844e+07,0.664209,350315.88,0.08007665
135,14442.223,18698.375,3.901882e+07,0.65541995,222979.69,0.08070136
136,16785.135,18507.05,3.544638e+07,0.6593262,292431.78,0.08070136
137,37504.484,20406.795,6.438296e+07,0.65283203,571692.44,0.08070136
138,15134.539,19879.57,6.044637e+07,0.6526855,229379.02,0.08070136
139,13771.859,19268.799,5.77591e+07,0.6492188,219084.1,0.08070136
140,19680.422,19309.96,5.199844e+07,0.64345706,359151.78,0.08128229
141,19428.412,19321.807,4.679986e+07,0.63876957,266481.72,0.08128229
142,14706.451,18860.271,4.403701e+07,0.64345706,148493.45,0.08128229
143,26832.389,19657.482,4.5353224e+07,0.6371094,398966.3,0.08128229
144,17986.762,19490.41,4.106912e+07,0.6203613,305547.0,0.08128229
145,25871.027,20128.473,4.062631e+07,0.62460935,316756.3,0.08179029
146,15824.307,19698.057,3.8231004e+07,0.62485355,162954.7,0.08179029
147,30235.799,20751.83,4.4401868e+07,0.62436527,507001.06,0.08179029
148,12592.338,19935.88,4.595364e+07,0.6222168,161269.28,0.08179029
149,15697.199,19512.012,4.2975256e+07,0.6364746,165981.08,0.08179029
150,27384.385,20299.25,4.4255412e+07,0.642334,406951.3,0.08237445
