r,rho1_top,rho1_top_stderr,rho1_bottom,rho1_bottom_stderr
0,0.999999880791,2.08318482464e-07,0.999999880791,2.08318482464e-07
0.177208470504,0.98945248127,0.00242022052407,0.988598942757,0.00230695935898
0.354416941008,0.958510458469,0.00477907666937,0.95526099205,0.00453440612182
0.531625411512,0.909188866615,0.00701949326321,0.902465105057,0.00661167828366
0.708833882016,0.844584941864,0.00909212138504,0.833969593048,0.00848533120006
0.88604235252,0.768549203873,0.0109576331452,0.754327118397,0.01012509875
1.06325082302,0.685279726982,0.0125858774409,0.668344855309,0.0115244295448
1.24045929353,0.598919391632,0.0139500359073,0.580580115318,0.0126929068938
1.41766776403,0.513229370117,0.0150178503245,0.494931280613,0.0136386482045
1.59487623454,0.431350827217,0.0157435834408,0.414401054382,0.0143468808383
1.77208470504,0.355672389269,0.0160695761442,0.34102550149,0.0147660635412
1.94929317554,0.287789016962,0.0159405004233,0.275947272778,0.0148161845282
2.12650164605,0.228552311659,0.0153294159099,0.219585567713,0.0144218644127
2.30371011655,0.178172901273,0.0142577644438,0.171835452318,0.0135550592095
2.48091858706,0.136358708143,0.0128034139052,0.13223734498,0.0122621515766
2.65812705756,0.102456837893,0.0110874520615,0.100105412304,0.0106629980728
2.83533552807,0.0755963996053,0.00925239548087,0.0746104717255,0.00891982764006
3.01254399857,0.0547990426421,0.0074355378747,0.0548498556018,0.00719766365364
3.18975246907,0.0390702188015,0.00575317628682,0.0398941785097,0.00562665471807
3.36696093958,0.0274605713785,0.00428826035932,0.0288323611021,0.00428384635597
3.54416941008,0.0190996211022,0.00308336992748,0.0208141840994,0.00319384108298
3.72137788059,0.0132239209488,0.00214294926263,0.0150935584679,0.00234355172142
3.89858635109,0.00919261388481,0.00144464406185,0.011056673713,0.00170018547215
4.07579482159,0.00648938119411,0.000954673218075,0.0082269301638,0.00122500536963
4.2530032921,0.00471291737631,0.000638804456685,0.00624890532345,0.000881132378709
4.4302117626,0.00356171955355,0.000462371390313,0.00486529851332,0.0006368784816
4.60742023311,0.00281649595127,0.000381346355425,0.00389279751107,0.000466531899292
4.78462870361,0.00232385192066,0.000346329179592,0.00320246536285,0.000349914218532
4.96183717411,0.00198248820379,0.000322440580931,0.00270536658354,0.000271389406407
5.13904564462,0.00173025275581,0.000294474535622,0.00234093517065,0.000218917863094
5.31625411512,0.00153158209287,0.00025932569406,0.00206795055419,0.000183480835403
5.49346258563,0.00136741157621,0.000219664099859,0.00185820111074,0.000158742725034
5.67067105613,0.00122834101785,0.00018044890021,0.00169254478533,0.000140656964504
5.84787952663,0.00111011520494,0.000146644742927,0.00155825179536,0.000126921207993
6.02508799714,0.00101047684439,0.000121440338262,0.00144713057671,0.000116437789984
6.20229646764,0.00092719681561,0.000105198247184,0.00135409843642,0.000108878666651
6.37950493815,0.000857486040331,9.58721284405e-05,0.00127609062474,0.000104337741504
6.55671340865,0.000798290770035,9.06758432393e-05,0.00121117569506,0.000102981677628
6.73392187915,0.000746785604861,8.74618126545e-05,0.00115799042396,0.000104814243969
6.91113034966,0.000700774311554,8.50184223964e-05,0.00111526693217,0.000109573884401
7.08833882016,0.000658752862364,8.27757612569e-05,0.00108170462772,0.000116792427434
7.26554729067,0.000619765545707,8.04820883786e-05,0.00105595216155,0.000125864215079
7.44275576117,0.000583278073464,7.79911642894e-05,0.00103665539064,0.000136100046802
7.61996423167,0.000549214077182,7.51771149226e-05,0.00102251954377,0.000146762671648
7.79717270218,0.000518014305271,7.19576783013e-05,0.00101229932625,0.000157089772983
7.97438117268,0.000490385456942,6.83326652506e-05,0.00100480322726,0.000166368714417
8.15158964319,0.000466905068606,6.44770625513e-05,0.000998898525722,0.000174017477548
8.32879811369,0.000447819125839,6.07946312812e-05,0.000993583351374,0.000179647802725
8.5060065842,0.000433170149336,5.78911567573e-05,0.00098803837318,0.000183072319487
8.6832150547,0.000422919460107,5.63616085856e-05,0.000981599092484,0.000184222590178
