r,top_top,bottom_bottom,top_bottom
1.899453293215452171e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.049980527342365244e+00
5.698359879646356513e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.003928749827349032e+00
9.497266466077261549e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.339300480045250596e-01
1.329617305250816450e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.030244051264501248e+00
1.709507963893907023e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.762976833183393266e-01
2.089398622536997596e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.057516272753913578e+00
2.469289281180087614e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243463888e-01
2.849179939823178187e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002086678726748170e+00
3.229070598466268760e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.427069750132689441e-01
3.608961257109359333e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.859927943741322309e-01
3.988851915752449351e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.802449785339135691e-01
4.368742574395539924e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.851075885820811395e-01
4.748633233038630497e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.033401887436959043e+00
5.128523891681721070e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.006998868328351504e+00
5.508414550324811643e-01,1.905590793724799836e-03,0.000000000000000000e+00,1.029019028611391828e+00
5.888305208967901105e-01,1.782649452194167827e-03,0.000000000000000000e+00,9.866964717894719517e-01
6.268195867610992789e-01,1.674610091455127313e-03,0.000000000000000000e+00,9.888572590042526977e-01
6.648086526254082251e-01,0.000000000000000000e+00,4.736754258687360733e-03,9.789292134620546371e-01
7.027977184897173935e-01,8.961426975895006933e-03,4.480713487947503466e-03,1.044006242691768227e+00
7.407867843540263397e-01,1.842071100600640651e-02,1.842071100600640651e-02,1.018807016409123412e+00
7.787758502183353970e-01,1.617428283454225291e-02,2.695713805757042267e-02,1.023697317736236734e+00
8.167649160826444543e-01,3.212914710349954600e-02,4.369564006075937757e-02,1.031345622022335373e+00
8.547539819469534006e-01,6.140237002002130184e-02,4.052556421321405755e-02,9.934903469239446672e-01
8.927430478112625689e-01,5.643792308223239546e-02,7.525056410964318931e-02,1.012355245287543504e+00
9.307321136755715152e-01,7.217911251333128386e-02,9.811848107280971010e-02,1.015018769718721181e+00
9.687211795398806835e-01,1.029392673865062308e-01,1.278614058063972103e-01,9.757558977005142964e-01
1.006710245404189630e+00,1.845546706450829355e-01,1.657863990540575372e-01,9.811635315086046916e-01
1.044699311268498576e+00,2.351152568403006016e-01,2.321009586756813681e-01,1.053497208534423857e+00
1.082688377132807744e+00,2.704935984566198548e-01,2.734021317733577039e-01,1.018956171963826041e+00
1.120677442997116913e+00,3.512423708772413056e-01,3.287628591410978740e-01,9.858202542621239406e-01
1.158666508861425859e+00,3.768696284507528360e-01,4.348495712893301612e-01,1.018725714405941174e+00
1.196655574725734805e+00,4.877102533018851105e-01,4.508688312898722073e-01,1.039015818410221170e+00
1.234644640590043974e+00,6.078834631982131809e-01,5.585726368129035890e-01,9.819655943971137280e-01
1.272633706454352920e+00,6.680944439491853792e-01,6.466494371063720159e-01,1.013688977300677641e+00
1.310622772318661866e+00,7.472401464610455291e-01,7.584527531603537653e-01,9.867093895391297886e-01
1.348611838182971034e+00,8.631789509434233398e-01,8.600655913367744043e-01,9.849891455535637608e-01
1.386600904047280203e+00,9.228019198488440766e-01,9.061475783913587323e-01,9.739004675024920399e-01
1.424589969911589149e+00,9.939815658841028023e-01,1.017560075971790878e+00,9.729819553372556218e-01
1.462579035775898095e+00,1.103807280281998482e+00,1.112419560752339054e+00,1.035985571578065478e+00
1.500568101640207264e+00,1.190584182236308353e+00,1.193382264920765046e+00,9.961174356665706275e-01
1.538557167504516432e+00,1.256701839743109117e+00,1.216449174952205947e+00,9.735686890952316430e-01
1.576546233368825156e+00,1.292334942023800393e+00,1.284345236045291605e+00,9.800706000304142407e-01
1.614535299233134324e+00,1.297034769069977722e+00,1.355547615794939098e+00,9.674123991860285043e-01
1.652524365097443493e+00,1.393622067144073551e+00,1.344711903438470246e+00,9.950359927899686818e-01
1.690513430961752439e+00,1.439920072682988383e+00,1.401422856423244934e+00,9.944079329028917558e-01
1.728502496826061385e+00,1.408880753865988211e+00,1.507259496161802881e+00,1.012025765654167797e+00
1.766491562690370554e+00,1.388089706775187393e+00,1.442163406825076821e+00,1.019378378413028141e+00
1.804480628554679722e+00,1.432743511825071536e+00,1.422272791884815257e+00,1.017404954194904620e+00
1.842469694418988446e+00,1.420863502545777868e+00,1.431688044064771237e+00,9.818998583150152504e-01
1.880458760283297615e+00,1.434582645013223079e+00,1.368156444718836351e+00,1.013139105330350009e+00
1.918447826147606783e+00,1.327932641928047719e+00,1.345441436547618164e+00,9.758417251251227942e-01
1.956436892011915729e+00,1.310731951097285020e+00,1.317706783419947625e+00,9.931088176344964324e-01
1.994425957876224675e+00,1.263134468983299064e+00,1.297344360851596656e+00,1.011823340258496851e+00
2.032415023740533844e+00,1.260183220223985323e+00,1.250370318099290445e+00,9.991083768538113752e-01
2.070404089604843012e+00,1.246186449158631415e+00,1.229455711639414695e+00,9.909159539790663995e-01
2.108393155469151736e+00,1.172453362679606759e+00,1.159509079269980480e+00,1.007164820679764095e+00
2.146382221333460905e+00,1.119914023108528500e+00,1.122848295658157802e+00,9.932512580495290733e-01
2.184371287197770073e+00,1.113411845241306874e+00,1.053344309352155728e+00,9.747759724091459299e-01
2.222360353062079241e+00,1.024474927487903919e+00,1.079737060505923774e+00,1.000386305403126119e+00
2.260349418926387965e+00,9.854306408759332392e-01,1.006328086134848032e+00,9.900745176001365389e-01
2.298338484790697134e+00,9.627485653056564452e-01,9.207310757382369815e-01,9.828438864031180389e-01
2.336327550655006302e+00,8.846434139225956006e-01,8.886869846312310806e-01,1.023023389284789308e+00
2.374316616519315026e+00,8.903834871863343103e-01,8.726996046205680591e-01,9.991393649657972498e-01
2.412305682383624195e+00,8.154428131950199887e-01,8.137022735724052103e-01,9.925427197960728920e-01
2.450294748247933363e+00,7.946609050265558416e-01,8.207926113374021115e-01,1.017851380238866010e+00
2.488283814112242531e+00,8.015118529331075603e-01,7.943404310910744393e-01,9.757352188601461362e-01
2.526272879976551256e+00,8.297630047893532756e-01,7.911210621526933995e-01,1.002820737135255103e+00
2.564261945840860424e+00,7.773540044534678062e-01,7.716231165849324336e-01,1.002086678726745284e+00
2.602251011705169592e+00,7.599551723061891417e-01,7.777035945893485680e-01,1.011861756756940123e+00
2.640240077569478316e+00,8.074632529467499209e-01,7.828139562048993527e-01,1.011813874322736728e+00
2.678229143433787485e+00,7.952260134295089378e-01,7.983614536007440643e-01,1.008435945073497431e+00
2.716218209298096653e+00,7.775343470786991729e-01,7.949245287976561825e-01,1.014620491180479478e+00
2.754207275162405821e+00,8.216907502541431763e-01,7.938691246657607614e-01,1.013393184102860278e+00
2.792196341026714546e+00,7.984814321787221392e-01,8.285560623926100376e-01,1.023289293027533686e+00
2.830185406891023714e+00,8.500725428006670192e-01,8.474763352092165025e-01,9.644911202238807268e-01
2.868174472755332882e+00,8.512564331120040517e-01,8.673593063093076871e-01,1.012468152280463940e+00
2.906163538619641606e+00,8.917791269378462227e-01,8.961134118804360282e-01,1.004831725857062930e+00
2.944152604483950775e+00,9.123599896329751546e-01,8.970292043441053798e-01,9.874095315703496079e-01
2.982141670348259943e+00,9.391042731979243330e-01,8.944017834317562476e-01,9.859186916144625501e-01
3.020130736212569111e+00,8.991392334441241641e-01,9.533586847070864012e-01,1.016962271765561310e+00
