r,top_top,bottom_bottom,top_bottom
5.427009409187007194e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.049980527342365022e+00
1.628102822756102158e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.841941282883074571e-01
2.713504704593503597e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.726135411171384915e-01
3.798906586430905036e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243457227e-01
4.884308468268306475e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.059190882845368442e+00
5.969710350105707913e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.012301800284624909e+00
7.055112231943108658e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.075742614882383874e-01
8.140514113780511485e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.431404035075277026e-01
9.225915995617911536e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.394562613063264234e-01
1.031131787745531436e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.874470610325014608e-01
1.139671975929271441e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.447193215937573774e-01
1.248212164113011724e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.001926498631044327e+00
1.356752352296751729e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.003560335607229792e+00
1.465292540480491734e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.527601081439966979e-01
1.573832728664232294e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.747096909902341899e-01
1.682372916847972300e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.661960030892399187e-01
1.790913105031712305e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.024024070924812291e+00
1.899453293215452310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002612984755489656e+00
2.007993481399192870e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.024589817577328255e+00
2.116533669582932875e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.001803283172811421e+00
2.225073857766672880e-01,1.347856902878518184e-03,0.000000000000000000e+00,9.765223261354865070e-01
2.333614045950412885e-01,1.285165884139981502e-03,0.000000000000000000e+00,1.014638465528515443e+00
2.442154234134153445e-01,2.456094800800849055e-03,3.684142201201273583e-03,1.027875674135155348e+00
2.550694422317893451e-01,4.703160256852710608e-03,2.351580128426355304e-03,1.042337891924981941e+00
2.659234610501633456e-01,6.766791798124805260e-03,6.766791798124805260e-03,1.009943675870127233e+00
2.767774798685373461e-01,8.668569885179494908e-03,9.752141120826930687e-03,1.026683745775946344e+00
2.876314986869114021e-01,2.293899861125314396e-02,2.293899861125314396e-02,1.030169573996277510e+00
2.984855175052854026e-01,3.416204586568467177e-02,4.420970641441546167e-02,1.015818481476682633e+00
3.093395363236594031e-01,6.495724407381209264e-02,6.689626628497066796e-02,1.023318971938935285e+00
3.201935551420334036e-01,9.834786384562713146e-02,8.991804694457337932e-02,1.017197906060486323e+00
3.310475739604074596e-01,1.313608079936524342e-01,1.404201740621801864e-01,1.006948538516859726e+00
3.419015927787814602e-01,1.692951059123446178e-01,1.508743949063381939e-01,1.039454406767504446e+00
3.527556115971554607e-01,2.652582384864928255e-01,2.389024519702066807e-01,9.904674610152697234e-01
3.636096304155294612e-01,3.422953015295223111e-01,3.101277912653021551e-01,9.720361755482940236e-01
3.744636492339035172e-01,4.493051684508495014e-01,4.252781540951890982e-01,1.014740906287390887e+00
3.853176680522775177e-01,5.565130296885043570e-01,5.316061528353125398e-01,9.947183943243474991e-01
