step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,19282.65,19282.65,0.0,0.31357422,164.93,0.021275356
1,19271.383,19281.523,11.426249,0.30732423,124.1716,0.021275356
2,19251.938,19278.564,89.06312,0.30122072,99.79246,0.021275356
3,19222.152,19272.924,366.56613,0.2902832,98.75062,0.021275356
4,19237.652,19269.396,441.87646,0.2916504,78.29421,0.021275356
5,19219.39,19264.396,622.7415,0.27866212,82.91218,0.021041203
6,19232.188,19261.176,653.835,0.29038087,69.77716,0.021041203
7,19219.873,19257.045,741.98395,0.28823245,77.64564,0.021041203
8,19227.227,19254.062,747.8076,0.28671876,69.046165,0.021041203
9,19222.0,19250.855,765.5472,0.28134766,67.19378,0.021041203
10,19225.21,19248.291,748.18024,0.2904297,62.15779,0.020821873
11,19219.945,19245.457,745.6753,0.2849121,67.44707,0.020821873
12,19224.36,19243.348,711.1677,0.2923828,61.80183,0.020821873
13,19220.54,19241.066,686.8718,0.28857422,68.34034,0.020821873
14,19223.02,19239.262,647.4967,0.28652346,69.70263,0.020821873
15,19224.455,19237.781,602.4783,0.28510743,62.849854,0.020599348
16,19223.762,19236.379,559.9197,0.28886718,62.311344,0.020599348
17,19223.346,19235.076,519.2155,0.2984375,60.075626,0.020599348
18,19222.238,19233.793,482.12698,0.29086915,59.643303,0.020599348
19,19221.635,19232.578,447.21826,0.28637695,59.191677,0.020599348
20,19223.469,19231.668,409.9647,0.28984377,60.570328,0.020384027
21,19225.691,19231.07,372.18295,0.2893555,60.267315,0.020384027
22,19223.531,19230.316,340.08002,0.28950197,63.66499,0.020384027
23,19223.205,19229.605,310.62338,0.29833984,61.297825,0.020384027
24,19220.266,19228.672,287.412,0.2979004,63.14698,0.020384027
25,19219.848,19227.79,265.6788,0.29467773,59.197304,0.020175833
26,19217.438,19226.754,248.75485,0.29545897,60.558014,0.020175833
27,19219.531,19226.031,228.57437,0.29916993,61.239567,0.020175833
28,19218.758,19225.305,210.47818,0.29780275,55.971558,0.020175833
29,19218.107,19224.586,194.09242,0.30483398,60.476906,0.020175833
30,19221.293,19224.256,175.6591,0.2965332,57.353855,0.019971618
31,19218.383,19223.668,161.19753,0.30561525,59.765236,0.019971618
32,19220.586,19223.36,145.93266,0.3023926,58.88269,0.019971618
33,19220.523,19223.076,132.06323,0.30166018,60.52484,0.019971618
34,19221.096,19222.879,119.20991,0.30566406,58.117157,0.019971618
35,19221.48,19222.738,107.46492,0.30297852,58.603264,0.019775845
36,19219.205,19222.385,97.84194,0.30600587,55.660187,0.019775845
37,19220.344,19222.18,88.43266,0.30551758,56.948326,0.019775845
38,19220.715,19222.033,79.78252,0.30185547,58.91166,0.019775845
39,19219.78,19221.809,72.261475,0.30849612,57.964783,0.019775845
40,19219.758,19221.604,65.41384,0.30200195,57.595356,0.019581033
41,19220.625,19221.506,58.95863,0.30996096,77.12191,0.019581033
42,19218.693,19221.225,53.77468,0.3113281,60.498528,0.019581033
43,19219.27,19221.03,48.741222,0.3113281,55.23609,0.019581033
44,19218.75,19220.8,44.334667,0.30874026,56.848198,0.019581033
45,19218.236,19220.545,40.493076,0.31113282,55.30483,0.019396994
46,19218.973,19220.387,36.666252,0.30913085,53.06047,0.019396994
47,19218.525,19220.201,33.311436,0.322168,54.599136,0.019396994
48,19219.533,19220.135,30.020447,0.320459,53.106834,0.019396994
49,19219.824,19220.104,27.02708,0.31621096,56.78121,0.019396994
50,19218.59,19219.953,24.53058,0.31533206,56.363556,0.019218717
51,19219.633,19219.922,22.086756,0.3116211,57.75588,0.019218717
52,19220.096,19219.94,19.880798,0.3194336,57.64359,0.019218717
53,19218.188,19219.764,18.168959,0.3216797,60.258736,0.019218717
54,19217.191,19219.506,16.947552,0.3203125,55.226933,0.019218717
55,19215.688,19219.125,16.564983,0.3230957,56.500732,0.01904947
56,19218.613,19219.074,14.932052,0.32646483,56.119232,0.01904947
57,19217.945,19218.96,13.553545,0.31748047,59.99694,0.01904947
58,19217.777,19218.842,12.32427,0.32172853,54.85687,0.01904947
59,19217.39,19218.697,11.281374,0.32143557,56.02964,0.01904947
60,19218.195,19218.646,10.175913,0.32412112,53.81512,0.018882686
61,19218.11,19218.594,9.184285,0.3263672,57.10124,0.018882686
62,19217.793,19218.514,8.323569,0.32954103,54.52902,0.018882686
63,19216.79,19218.342,7.7588973,0.32617188,54.39734,0.018882686
64,19218.223,19218.33,6.984285,0.33193362,55.359653,0.018882686
65,19218.154,19218.312,6.288637,0.33066407,58.508312,0.018723486
66,19219.785,19218.459,5.854958,0.3354004,55.348396,0.018723486
67,19219.496,19218.562,5.366266,0.33374023,55.048435,0.018723486
68,19220.844,19218.791,5.298008,0.33432618,56.950134,0.018723486
69,19219.572,19218.87,4.8231387,0.33125,54.510845,0.018723486
